mode,group,target,hop,n,cc,flip,epr,dmargin
none,random,random_10,d3,243,131,111,0.8473282442748091,-0.987139930563678
none,random,random_10,d4,1000,498,424,0.8514056224899599,-0.837500001867309
none,random,random_10,d5,1000,440,351,0.7977272727272727,-1.099062508724368
none,random,random_1,d1,7,0,0,,-1.3928571252950601
none,random,random_1,d2,18,12,5,0.4166666666666667,-0.5694444208703417
none,random,random_1,d3,126,77,49,0.6363636363636364,-0.6904761899294543
none,random,random_1,d4,550,294,181,0.6156462585034014,-1.3062500060554092
none,random,random_1,d5,1000,457,208,0.4551422319474836,-1.4696874973760132
none,random,random_2,d1,5,4,4,1.0,-0.7000000418163836
none,random,random_2,d2,24,12,5,0.4166666666666667,-1.7812500152310047
none,random,random_2,d3,124,71,37,0.5211267605633803,-2.7857862870689365
none,random,random_2,d4,658,364,254,0.6978021978021978,-1.9638107925587267
none,random,random_2,d5,1000,493,303,0.6146044624746451,-2.247999997732797
none,random,random_7,d1,12,1,1,1.0,0.4270833403182526
none,random,random_7,d2,84,65,38,0.5846153846153846,-2.941964285912642
none,random,random_7,d3,470,242,188,0.7768595041322314,-2.0251329754829093
none,random,random_7,d4,1000,436,262,0.6009174311926605,-2.0455625024083712
none,random,random_7,d5,1000,395,283,0.7164556962025317,-2.075062503332556
none,random,random_12,d1,7,2,2,1.0,2.9642857315733897
none,random,random_12,d2,49,39,37,0.9487179487179487,-1.5484693648058407
none,random,random_12,d3,201,96,89,0.9270833333333334,-0.44278607903779904
none,random,random_12,d4,673,232,196,0.8448275862068966,-0.5939821692431494
none,random,random_12,d5,1000,451,392,0.8691796008869179,-0.7694375023292669
none,random,random_9,d1,3,0,0,,2.000000037252903
none,random,random_9,d2,39,34,24,0.7058823529411765,-2.6634615251573566
none,random,random_9,d3,274,136,102,0.75,-1.4936131418548375
none,random,random_9,d4,1000,481,325,0.6756756756756757,-2.07918749551729
none,random,random_9,d5,1000,355,250,0.704225352112676,-2.031937503320456
none,random,random_15,d1,7,4,4,1.0,-1.1607143647436584
none,random,random_15,d2,38,30,27,0.9,-1.3536184071716362
none,random,random_15,d3,196,94,73,0.776595744680851,-2.1061862148077237
none,random,random_15,d4,866,416,337,0.8100961538461539,-2.0074336022508796
none,random,random_15,d5,1000,448,356,0.7946428571428571,-1.465874998831394
popularity_top5,hub,hub_1,d1,17,15,14,0.9333333333333333,0.45588236461866044
popularity_top5,hub,hub_1,d2,117,56,37,0.6607142857142857,-1.7628204855136573
popularity_top5,hub,hub_1,d3,528,246,178,0.7235772357723578,-1.8469460180611101
popularity_top5,hub,hub_1,d4,1000,414,271,0.6545893719806763,-1.193187506601462
popularity_top5,hub,hub_1,d5,1000,421,255,0.6057007125890737,-1.305625002148845
popularity_top5,hub,hub_4,d1,15,15,14,0.9333333333333333,1.9333332845979991
popularity_top5,hub,hub_4,d2,117,57,53,0.9298245614035088,-0.1655983009044669
popularity_top5,hub,hub_4,d3,614,263,158,0.6007604562737643,-1.0851995086316044
popularity_top5,hub,hub_4,d4,1000,433,303,0.6997690531177829,-0.9313125006972769
popularity_top5,hub,hub_4,d5,1000,374,236,0.6310160427807486,-1.422374994408965
popularity_top5,hub,hub_5,d1,23,21,18,0.8571428571428571,3.1739129987528307
popularity_top5,hub,hub_5,d2,147,78,61,0.782051282051282,-0.9200680263211387
popularity_top5,hub,hub_5,d3,614,246,172,0.6991869918699187,-0.8276669460140419
popularity_top5,hub,hub_5,d4,1000,384,208,0.5416666666666666,-0.7507500006132395
popularity_top5,hub,hub_5,d5,1000,442,275,0.6221719457013575,-0.8683749984549831
popularity_top5,hub,hub_10,d1,19,18,17,0.9444444444444444,0.6184209628340077
popularity_top5,hub,hub_10,d2,76,37,33,0.8918918918918919,-1.7730263555730696
popularity_top5,hub,hub_10,d3,368,152,88,0.5789473684210527,-1.8294836863336494
popularity_top5,hub,hub_10,d4,870,397,261,0.6574307304785895,-1.263074710058568
popularity_top5,hub,hub_10,d5,1000,460,316,0.6869565217391305,-1.4395000093474009
popularity_top5,hub,hub_3,d1,28,23,11,0.4782608695652174,-1.5089285923417524
popularity_top5,hub,hub_3,d2,205,117,80,0.6837606837606838,-1.496646339292127
popularity_top5,hub,hub_3,d3,954,434,191,0.4400921658986175,-2.2913391001694707
popularity_top5,hub,hub_3,d4,1000,418,222,0.5311004784688995,-1.8887500037558203
popularity_top5,hub,hub_3,d5,1000,436,299,0.6857798165137615,-1.7518125014219985
popularity_top5,hub,hub_6,d1,19,16,15,0.9375,-4.269736864011257
popularity_top5,hub,hub_6,d2,94,75,70,0.9333333333333333,-2.7074468056454593
popularity_top5,hub,hub_6,d3,558,241,106,0.43983402489626555,-1.726366483790566
popularity_top5,hub,hub_6,d4,1000,399,246,0.6165413533834586,-1.5830624998227285
popularity_top5,hub,hub_6,d5,1000,494,298,0.6032388663967612,-1.8808124933769432
popularity_top5,hub,hub_11,d1,13,13,12,0.9230769230769231,-4.480769206429473
popularity_top5,hub,hub_11,d2,108,52,36,0.6923076923076923,-3.018518497302365
popularity_top5,hub,hub_11,d3,365,201,167,0.8308457711442786,-1.4893835703938025
popularity_top5,hub,hub_11,d4,1000,408,278,0.6813725490196079,-2.0809374998912973
popularity_top5,hub,hub_11,d5,1000,419,343,0.8186157517899761,-2.4416250023339234
popularity_top5,tail,tail_3,d1,1,1,1,1.0,-0.7499997252598405
popularity_top5,tail,tail_3,d2,23,21,18,0.8571428571428571,-3.2228260902313353
popularity_top5,tail,tail_3,d3,147,78,72,0.9230769230769231,-0.9532312691448491
popularity_top5,tail,tail_3,d4,614,244,156,0.639344262295082,-1.5005089671205307
popularity_top5,tail,tail_3,d5,1000,383,240,0.6266318537859008,-0.8949999975553801
popularity_top5,tail,tail_4,d1,1,0,0,,0.37500016018748283
popularity_top5,tail,tail_4,d2,23,21,18,0.8571428571428571,-0.8858695756188473
popularity_top5,tail,tail_4,d3,147,78,48,0.6153846153846154,-1.9111394652289808
popularity_top5,tail,tail_4,d4,614,244,121,0.4959016393442623,-1.6889250869977919
popularity_top5,tail,tail_4,d5,1000,374,187,0.5,-1.4683750009067444
popularity_top5,tail,tail_1,d1,1,1,0,0.0,-3.750000038649887
popularity_top5,tail,tail_1,d2,28,23,21,0.9130434782608695,-2.0267857017378055
popularity_top5,tail,tail_1,d3,205,117,97,0.8290598290598291,-1.9896341395777333
popularity_top5,tail,tail_1,d4,954,434,220,0.5069124423963134,-2.5734407742203462
popularity_top5,tail,tail_1,d5,1000,418,266,0.6363636363636364,-2.4799375001522423
popularity_top5,random,random_10,d1,4,1,1,1.0,0.7500000754371285
popularity_top5,random,random_10,d2,41,30,24,0.8,-2.920731722705191
popularity_top5,random,random_10,d3,243,131,87,0.6641221374045801,-1.3112140032396902
popularity_top5,random,random_10,d4,1000,498,348,0.6987951807228916,-1.3280000018306672
popularity_top5,random,random_10,d5,1000,440,262,0.5954545454545455,-1.456749998483021
popularity_top5,random,random_1,d1,7,0,0,,-1.5178571487111705
popularity_top5,random,random_1,d2,18,12,6,0.5,-1.4166666229721159
popularity_top5,random,random_1,d3,126,77,51,0.6623376623376623,-2.003472228761345
popularity_top5,random,random_1,d4,550,294,216,0.7346938775510204,-2.0961363674530267
popularity_top5,random,random_1,d5,1000,457,253,0.5536105032822757,-2.1326875012831805
popularity_top5,random,random_2,d1,5,4,4,1.0,-2.374999994877726
popularity_top5,random,random_2,d2,24,12,5,0.4166666666666667,-0.8593749817615995
popularity_top5,random,random_2,d3,124,71,32,0.4507042253521127,-1.8467741847678318
popularity_top5,random,random_2,d4,658,364,222,0.6098901098901099,-0.9763487904848818
popularity_top5,random,random_2,d5,1000,493,288,0.5841784989858012,-1.3682499987779446
popularity_top5,random,random_7,d1,12,1,1,1.0,1.7187500570241052
popularity_top5,random,random_7,d2,84,65,38,0.5846153846153846,-2.2633928646310304
popularity_top5,random,random_7,d3,470,242,174,0.71900826446281,-1.5664893648515956
popularity_top5,random,random_7,d4,1000,436,227,0.5206422018348624,-1.5604374987984484
popularity_top5,random,random_7,d5,1000,395,248,0.6278481012658228,-1.6643124999861976
popularity_top5,random,random_12,d1,7,2,2,1.0,0.16071433793487294
popularity_top5,random,random_12,d2,49,39,37,0.9487179487179487,-2.556122466378931
popularity_top5,random,random_12,d3,201,96,84,0.875,-1.4421641885067524
popularity_top5,random,random_12,d4,673,232,179,0.771551724137931,-1.2410846916887077
popularity_top5,random,random_12,d5,1000,451,358,0.7937915742793792,-1.4052499985287723
popularity_top5,random,random_9,d1,3,0,0,,0.3333333333333333
popularity_top5,random,random_9,d2,39,34,20,0.5882352941176471,-0.9294871649822781
popularity_top5,random,random_9,d3,274,136,92,0.6764705882352942,-1.009580290143847
popularity_top5,random,random_9,d4,1000,481,207,0.4303534303534304,-1.6618749916221787
popularity_top5,random,random_9,d5,1000,355,210,0.5915492957746479,-1.7918125124003272
popularity_top5,random,random_15,d1,7,4,4,1.0,-2.500000046033944
popularity_top5,random,random_15,d2,38,30,23,0.7666666666666667,-1.9736841951012856
popularity_top5,random,random_15,d3,196,94,64,0.6808510638297872,-2.076849488947156
popularity_top5,random,random_15,d4,866,416,297,0.7139423076923077,-2.029084869558834
popularity_top5,random,random_15,d5,1000,448,316,0.7053571428571429,-1.5227499991648366
popularity_top25,hub,hub_1,d1,17,15,14,0.9333333333333333,0.05882351690738955
popularity_top25,hub,hub_1,d2,117,56,39,0.6964285714285714,-2.115918777848228
popularity_top25,hub,hub_1,d3,528,246,198,0.8048780487804879,-1.7588778372009295
popularity_top25,hub,hub_1,d4,1000,414,298,0.7198067632850241,-1.614562502006549
popularity_top25,hub,hub_1,d5,1000,421,268,0.6365795724465558,-1.5506875055353375
popularity_top25,hub,hub_4,d1,15,15,14,0.9333333333333333,-3.2999999927162813
popularity_top25,hub,hub_4,d2,117,57,51,0.8947368421052632,-1.3979700972526592
popularity_top25,hub,hub_4,d3,614,263,167,0.6349809885931559,-1.4175488571807258
popularity_top25,hub,hub_4,d4,1000,433,316,0.7297921478060047,-1.43212499705144
popularity_top25,hub,hub_4,d5,1000,374,250,0.6684491978609626,-1.6304999974910896
popularity_top25,hub,hub_5,d1,23,21,18,0.8571428571428571,1.3043478385231497
popularity_top25,hub,hub_5,d2,147,78,59,0.7564102564102564,-0.7695578311995261
popularity_top25,hub,hub_5,d3,614,246,182,0.7398373983739838,-0.9597923432676303
popularity_top25,hub,hub_5,d4,1000,384,245,0.6380208333333334,-0.9089999995864128
popularity_top25,hub,hub_5,d5,1000,442,303,0.6855203619909502,-1.14568750322692
popularity_top25,hub,hub_10,d1,19,18,17,0.9444444444444444,3.3881578081881774
popularity_top25,hub,hub_10,d2,76,37,33,0.8918918918918919,-1.6414474122699942
popularity_top25,hub,hub_10,d3,368,152,102,0.6710526315789473,-1.5653872139391751
popularity_top25,hub,hub_10,d4,870,397,249,0.6272040302267002,-1.0727729858668953
popularity_top25,hub,hub_10,d5,1000,460,315,0.6847826086956522,-0.9797500029241418
popularity_top25,hub,hub_3,d1,28,23,11,0.4782608695652174,-0.5982142953466142
popularity_top25,hub,hub_3,d2,205,117,75,0.6410256410256411,-1.350914630562737
popularity_top25,hub,hub_3,d3,954,434,197,0.4539170506912442,-2.2396488464405317
popularity_top25,hub,hub_3,d4,1000,418,204,0.4880382775119617,-1.7539999999723224
popularity_top25,hub,hub_3,d5,1000,436,288,0.6605504587155964,-1.7868750034505065
popularity_top25,hub,hub_6,d1,19,16,16,1.0,-4.059210559201586
popularity_top25,hub,hub_6,d2,94,75,72,0.96,-2.5412234023610933
popularity_top25,hub,hub_6,d3,558,241,104,0.4315352697095436,-1.4922715025800293
popularity_top25,hub,hub_6,d4,1000,399,249,0.6240601503759399,-1.5445624962174624
popularity_top25,hub,hub_6,d5,1000,494,332,0.6720647773279352,-1.7971875004775792
popularity_top25,hub,hub_11,d1,13,13,11,0.8461538461538461,-3.0769230615741643
popularity_top25,hub,hub_11,d2,108,52,31,0.5961538461538461,-2.506944422634357
popularity_top25,hub,hub_11,d3,365,201,127,0.6318407960199005,-1.0559931539276564
popularity_top25,hub,hub_11,d4,1000,408,211,0.5171568627450981,-1.923187501126231
popularity_top25,hub,hub_11,d5,1000,419,284,0.6778042959427207,-2.1345625003679016
popularity_top25,tail,tail_3,d1,1,1,1,1.0,-2.1249999729916453
popularity_top25,tail,tail_3,d2,23,21,18,0.8571428571428571,-3.8152173806498153
popularity_top25,tail,tail_3,d3,147,78,69,0.8846153846153846,-1.3142006850178152
popularity_top25,tail,tail_3,d4,614,244,190,0.7786885245901639,-1.8374389328686986
popularity_top25,tail,tail_3,d5,1000,383,280,0.7310704960835509,-1.52968749697147
popularity_top25,tail,tail_4,d1,1,0,0,,-1.2500000782310963
popularity_top25,tail,tail_4,d2,23,21,18,0.8571428571428571,-3.4999999883736526
popularity_top25,tail,tail_4,d3,147,78,68,0.8717948717948718,-2.124574835818074
popularity_top25,tail,tail_4,d4,614,244,186,0.7622950819672131,-1.8690960928787768
popularity_top25,tail,tail_4,d5,1000,374,278,0.7433155080213903,-1.4731875038474536
popularity_top25,tail,tail_1,d1,1,1,1,1.0,-3.1250000311993062
popularity_top25,tail,tail_1,d2,28,23,15,0.6521739130434783,-2.9999999981040935
popularity_top25,tail,tail_1,d3,205,117,93,0.7948717948717948,-1.6484756030636363
popularity_top25,tail,tail_1,d4,954,434,245,0.5645161290322581,-2.4612159335997785
popularity_top25,tail,tail_1,d5,1000,418,257,0.6148325358851675,-2.2609375001563747
popularity_top25,random,random_10,d1,4,1,1,1.0,2.3749999883730197
popularity_top25,random,random_10,d2,41,30,20,0.6666666666666666,-2.085365899848445
popularity_top25,random,random_10,d3,243,131,83,0.6335877862595419,-1.436728396330919
popularity_top25,random,random_10,d4,1000,498,325,0.6526104417670683,-1.1559375003657841
popularity_top25,random,random_10,d5,1000,440,244,0.5545454545454546,-1.5036875023017346
popularity_top25,random,random_1,d1,7,0,0,,-1.5178571604192257
popularity_top25,random,random_1,d2,18,12,5,0.4166666666666667,-1.027777796249009
popularity_top25,random,random_1,d3,126,77,51,0.6623376623376623,-0.9940476291301329
popularity_top25,random,random_1,d4,550,294,202,0.6870748299319728,-1.6411363705907371
popularity_top25,random,random_1,d5,1000,457,241,0.5273522975929978,-1.5938125022532403
popularity_top25,random,random_2,d1,5,4,4,1.0,-0.7500000146217645
popularity_top25,random,random_2,d2,24,12,7,0.5833333333333334,-1.3177083370780263
popularity_top25,random,random_2,d3,124,71,39,0.5492957746478874,-2.541330644281017
popularity_top25,random,random_2,d4,658,364,251,0.6895604395604396,-1.2841945311642657
popularity_top25,random,random_2,d5,1000,493,296,0.6004056795131846,-1.7757499968459451
popularity_top25,random,random_7,d1,12,1,1,1.0,0.6562499913076559
popularity_top25,random,random_7,d2,84,65,44,0.676923076923077,-2.8273809576669358
popularity_top25,random,random_7,d3,470,242,192,0.7933884297520661,-1.889760632433822
popularity_top25,random,random_7,d4,1000,436,302,0.6926605504587156,-2.0409374993005476
popularity_top25,random,random_7,d5,1000,395,289,0.7316455696202532,-1.9369999991788573
popularity_top25,random,random_12,d1,7,2,2,1.0,0.8392857536008316
popularity_top25,random,random_12,d2,49,39,29,0.7435897435897436,-2.2244897912890766
popularity_top25,random,random_12,d3,201,96,79,0.8229166666666666,-1.8737562297603327
popularity_top25,random,random_12,d4,673,232,162,0.6982758620689655,-1.2464710227281262
popularity_top25,random,random_12,d5,1000,451,330,0.7317073170731707,-1.3561249975632237
popularity_top25,random,random_9,d1,3,0,0,,1.291666644314925
popularity_top25,random,random_9,d2,39,34,20,0.5882352941176471,-2.2948717527443736
popularity_top25,random,random_9,d3,274,136,86,0.6323529411764706,-2.0367244477574986
popularity_top25,random,random_9,d4,1000,481,181,0.3762993762993763,-2.0408125007094133
popularity_top25,random,random_9,d5,1000,355,194,0.5464788732394367,-2.136937499752181
popularity_top25,random,random_15,d1,7,4,4,1.0,-0.7321429375026908
popularity_top25,random,random_15,d2,38,30,27,0.9,-1.904605251066019
popularity_top25,random,random_15,d3,196,94,75,0.7978723404255319,-2.3105867220277716
popularity_top25,random,random_15,d4,866,416,330,0.7932692307692307,-1.8873412285923057
popularity_top25,random,random_15,d5,1000,448,358,0.7991071428571429,-1.726375000433065
popularity_top75,hub,hub_1,d1,17,15,14,0.9333333333333333,0.46323529051562007
popularity_top75,hub,hub_1,d2,117,56,44,0.7857142857142857,-1.3301281717070577
popularity_top75,hub,hub_1,d3,528,246,205,0.8333333333333334,-1.5256865438634095
popularity_top75,hub,hub_1,d4,1000,414,306,0.7391304347826086,-1.45187500759658
popularity_top75,hub,hub_1,d5,1000,421,287,0.6817102137767221,-1.6430625030856099
popularity_top75,hub,hub_4,d1,15,15,14,0.9333333333333333,-2.433333297923673
popularity_top75,hub,hub_4,d2,117,57,48,0.8421052631578947,-1.0801282097547191
popularity_top75,hub,hub_4,d3,614,263,155,0.5893536121673004,-1.2333061905876497
popularity_top75,hub,hub_4,d4,1000,433,271,0.625866050808314,-1.1543750010618314
popularity_top75,hub,hub_4,d5,1000,374,238,0.6363636363636364,-1.1954374952174984
popularity_top75,hub,hub_5,d1,23,21,20,0.9523809523809523,-0.59782612574307
popularity_top75,hub,hub_5,d2,147,78,67,0.8589743589743589,-2.023384367271412
popularity_top75,hub,hub_5,d3,614,246,196,0.7967479674796748,-1.5243281842505083
popularity_top75,hub,hub_5,d4,1000,384,286,0.7447916666666666,-1.4082500018374267
popularity_top75,hub,hub_5,d5,1000,442,324,0.7330316742081447,-1.4446250049301999
popularity_top75,hub,hub_10,d1,19,18,17,0.9444444444444444,2.3355261721697294
popularity_top75,hub,hub_10,d2,76,37,31,0.8378378378378378,-1.7796053007908708
popularity_top75,hub,hub_10,d3,368,152,88,0.5789473684210527,-1.9101562355993773
popularity_top75,hub,hub_10,d4,870,397,239,0.6020151133501259,-1.2550287386868608
popularity_top75,hub,hub_10,d5,1000,460,314,0.6826086956521739,-1.351125001611079
popularity_top75,hub,hub_3,d1,28,23,9,0.391304347826087,-2.1785714174121886
popularity_top75,hub,hub_3,d2,205,117,80,0.6837606837606838,-1.5490853677035263
popularity_top75,hub,hub_3,d3,954,434,184,0.423963133640553,-2.3882337516512333
popularity_top75,hub,hub_3,d4,1000,418,212,0.507177033492823,-2.162375004238129
popularity_top75,hub,hub_3,d5,1000,436,266,0.6100917431192661,-2.062812501661116
popularity_top75,hub,hub_6,d1,19,16,16,1.0,-4.164473723370496
popularity_top75,hub,hub_6,d2,94,75,67,0.8933333333333333,-2.8191489438071815
popularity_top75,hub,hub_6,d3,558,241,99,0.4107883817427386,-1.731406809229854
popularity_top75,hub,hub_6,d4,1000,399,241,0.6040100250626567,-1.7985624983513553
popularity_top75,hub,hub_6,d5,1000,494,310,0.6275303643724697,-1.8828749959595006
popularity_top75,hub,hub_11,d1,13,13,11,0.8461538461538461,-4.269230702730756
popularity_top75,hub,hub_11,d2,108,52,28,0.5384615384615384,-2.4866897923364175
popularity_top75,hub,hub_11,d3,365,201,118,0.5870646766169154,-1.245205487153327
popularity_top75,hub,hub_11,d4,1000,408,177,0.4338235294117647,-1.8441875009150535
popularity_top75,hub,hub_11,d5,1000,419,248,0.5918854415274463,-2.0955000034922557
popularity_top75,tail,tail_3,d1,1,1,1,1.0,0.12500023655593395
popularity_top75,tail,tail_3,d2,23,21,18,0.8571428571428571,-2.967391316045035
popularity_top75,tail,tail_3,d3,147,78,62,0.7948717948717948,-1.6547619083385081
popularity_top75,tail,tail_3,d4,614,244,149,0.610655737704918,-1.3279723199954199
popularity_top75,tail,tail_3,d5,1000,383,228,0.5953002610966057,-1.2220000037400023
popularity_top75,tail,tail_4,d1,1,0,0,,1.125000238418579
popularity_top75,tail,tail_4,d2,23,21,18,0.8571428571428571,-3.8913043399250298
popularity_top75,tail,tail_4,d3,147,78,52,0.6666666666666666,-1.8622449089770623
popularity_top75,tail,tail_4,d4,614,244,121,0.4959016393442623,-1.9165309510725692
popularity_top75,tail,tail_4,d5,1000,374,218,0.5828877005347594,-1.6644374997412523
popularity_top75,tail,tail_1,d1,1,1,1,1.0,-4.500000105705112
popularity_top75,tail,tail_1,d2,28,23,11,0.4782608695652174,-2.8526785527106506
popularity_top75,tail,tail_1,d3,205,117,84,0.717948717948718,-1.719512201958938
popularity_top75,tail,tail_1,d4,954,434,149,0.3433179723502304,-2.5037342756485614
popularity_top75,tail,tail_1,d5,1000,418,202,0.48325358851674644,-2.3801250046724163
popularity_top75,random,random_10,d1,4,1,1,1.0,3.124999991528057
popularity_top75,random,random_10,d2,41,30,22,0.7333333333333333,-2.4390244205899694
popularity_top75,random,random_10,d3,243,131,91,0.6946564885496184,-1.6702674962399353
popularity_top75,random,random_10,d4,1000,498,354,0.7108433734939759,-1.2753750015511105
popularity_top75,random,random_10,d5,1000,440,290,0.6590909090909091,-1.5310000025023183
popularity_top75,random,random_1,d1,7,0,0,,-1.8214285368365901
popularity_top75,random,random_1,d2,18,12,6,0.5,-1.1944444123396858
popularity_top75,random,random_1,d3,126,77,58,0.7532467532467533,-1.463293639882486
popularity_top75,random,random_1,d4,550,294,215,0.7312925170068028,-1.921704549261472
popularity_top75,random,random_1,d5,1000,457,260,0.5689277899343544,-1.9007500008876013
popularity_top75,random,random_2,d1,5,4,4,1.0,-2.0250000630505385
popularity_top75,random,random_2,d2,24,12,4,0.3333333333333333,-1.406250015522043
popularity_top75,random,random_2,d3,124,71,36,0.5070422535211268,-2.3739919338440814
popularity_top75,random,random_2,d4,658,364,235,0.6456043956043956,-1.3807940741482532
popularity_top75,random,random_2,d5,1000,493,291,0.59026369168357,-1.7562499950977362
popularity_top75,random,random_7,d1,12,1,1,1.0,-0.2499999546756347
popularity_top75,random,random_7,d2,84,65,39,0.6,-2.3288690430499193
popularity_top75,random,random_7,d3,470,242,165,0.6818181818181818,-1.5449468033861968
popularity_top75,random,random_7,d4,1000,436,210,0.481651376146789,-1.6794375023173342
popularity_top75,random,random_7,d5,1000,395,239,0.6050632911392405,-1.6238124964436793
popularity_top75,random,random_12,d1,7,2,2,1.0,-0.16071423196366855
popularity_top75,random,random_12,d2,49,39,20,0.5128205128205128,-3.1377551019636023
popularity_top75,random,random_12,d3,201,96,66,0.6875,-1.790422898887359
popularity_top75,random,random_12,d4,673,232,160,0.6896551724137931,-1.8410104026540182
popularity_top75,random,random_12,d5,1000,451,316,0.7006651884700665,-1.7420625010072546
popularity_top75,random,random_9,d1,3,0,0,,1.3333332935969036
popularity_top75,random,random_9,d2,39,34,21,0.6176470588235294,-2.6025641057789564
popularity_top75,random,random_9,d3,274,136,82,0.6029411764705882,-1.9470802802739309
popularity_top75,random,random_9,d4,1000,481,194,0.40332640332640335,-2.130437496963517
popularity_top75,random,random_9,d5,1000,355,197,0.5549295774647888,-2.0703750034884143
popularity_top75,random,random_15,d1,7,4,4,1.0,-0.053571519175810475
popularity_top75,random,random_15,d2,38,30,21,0.7,-1.914473676040009
popularity_top75,random,random_15,d3,196,94,67,0.7127659574468085,-1.9528061127146392
popularity_top75,random,random_15,d4,866,416,309,0.7427884615384616,-1.8951356809034843
popularity_top75,random,random_15,d5,1000,448,321,0.7165178571428571,-1.6298124970442731
