model,group,hop,n_targets,n_samples_total,epr_weighted,flip_rate_weighted,clean_acc_weighted,poisoned_acc_weighted,accuracy_drop_weighted,clean_margin_weighted,poisoned_margin_weighted,margin_change_weighted,epr_target_mean,epr_target_std,flip_rate_target_mean,accuracy_drop_target_mean,clean_margin_target_mean,margin_change_target_mean
Qwen3.5-2B,tail,d4,14,5239,0.33585169904751805,0.4209093395700648,0.338423363237259,0.22351593815613666,0.11490742508112235,3.153595627426932,3.1732081508589656,0.019612523432033662,0.3486855969447124,0.131649048618463,0.42375552882480616,0.12796765972485147,3.1608172602646647,-0.0036166456572719646
Qwen3.5-2B,tail,d5,14,11788,0.26830297705397715,0.35007355562030734,0.3134543603664744,0.22692568713946387,0.08652867322701052,2.9221347989732602,3.0751611821243516,0.15302638315109168,0.2699493929973765,0.10124676536309035,0.34909692879794013,0.08899541832950938,2.9053384504859707,0.17768951176632494
Qwen3.5-9B,hub,d1,15,268,0.8198816991646323,0.837572747030891,0.8059701492537313,0.13432835820895522,0.6716417910447762,4.736240672452789,2.6114738854402506,-2.124766787012538,0.8463947726991206,0.17366671639429412,0.861991736122171,0.6585438569820721,4.715125664655675,-2.001201190895036
Qwen3.5-9B,hub,d2,15,1576,0.5853416711059282,0.6191814387227215,0.5583756345177665,0.22779187817258884,0.33058375634517767,3.6548619913826648,1.8587008211230975,-1.7961611702595675,0.6062032039761602,0.2194555150229286,0.642387199106912,0.35092677131047667,3.7156487427274114,-1.8395749062597635
Qwen3.5-9B,hub,d3,15,6980,0.47974085997231347,0.5397253326595095,0.4565902578796562,0.2303724928366762,0.22621776504297994,3.400107450454907,1.9005282956706187,-1.4995791547842883,0.5214731036252214,0.20536721278829662,0.5749747888893308,0.2518754997986055,3.332985943401064,-1.3480089359558316
Qwen3.5-9B,hub,d4,15,14146,0.49011547391188565,0.5454625037680212,0.43171214477590836,0.2208398133748056,0.21087233140110279,3.2938198082633683,1.942183302511799,-1.3516365057515696,0.504194163714061,0.1723740494715032,0.5586002303521382,0.21270098284191238,3.2588449133109387,-1.2410125631617908
Qwen3.5-9B,hub,d5,15,14493,0.5031075810611849,0.5665669692154736,0.4320706547988684,0.21375836610777615,0.21831228869109226,3.399912889235203,1.9401392055142146,-1.459773683720989,0.5029387712364112,0.1797955053589331,0.5656562509390094,0.21998323191345504,3.394241649954553,-1.4257993069838775
Qwen3.5-9B,random,d1,15,81,0.9642857142857143,0.9642857142857143,0.35802469135802467,0.024691358024691357,0.3333333333333333,3.0648148093102385,2.8564814911058667,-0.2083333182043718,0.9464285714285714,0.14022879749273506,0.9464285714285714,0.3715873015873016,3.234576721660098,-0.2706150677793527
Qwen3.5-9B,random,d2,15,546,0.46731024757042855,0.5307950596412134,0.7051282051282052,0.3608058608058608,0.3443223443223443,4.270146520138072,2.1826923054299114,-2.0874542147081603,0.49985743015154777,0.23186580021631484,0.562967032967033,0.3776927842749355,4.145169275841883,-1.907202133143972
Qwen3.5-9B,random,d3,15,2937,0.5103418452768045,0.5619909231866476,0.5383043922369765,0.26421518556350015,0.27408920667347636,3.5302604698163167,1.9312010564932982,-1.5990594133230187,0.5034486861730489,0.15319437287725732,0.5577294092071349,0.2855524011598941,3.635265202314278,-1.6071867838493323
Qwen3.5-9B,random,d4,15,10573,0.4478262601523816,0.5083716652115796,0.46656578076231914,0.2555566064503925,0.21100917431192662,3.4947094023764516,1.8920717859967902,-1.6026376163796616,0.47335484561982144,0.10568847902014392,0.5280552984645357,0.22441786853601678,3.4782712195529877,-1.5855590576613672
Qwen3.5-9B,random,d5,15,14433,0.4496472628380764,0.5106205128757582,0.43227326266195526,0.23834268689808077,0.19393057576387446,3.3961927520086155,1.9086771640886409,-1.4875155879199746,0.44652215593582456,0.0793614745191016,0.506230984094559,0.1935838337182448,3.3879058691996597,-1.4877146926362217
Qwen3.5-9B,tail,d1,15,19,1.0,1.0,0.5263157894736842,0.05263157894736842,0.47368421052631576,4.611842058822635,3.1315788880119246,-1.4802631708107103,1.0,0.0,1.0,0.5111111111111111,5.1847221639770495,-2.373611116116323
Qwen3.5-9B,tail,d2,14,194,0.6139436846210714,0.6321396676310391,0.8144329896907216,0.32989690721649484,0.4845360824742268,4.302835045738302,1.804445868959295,-2.498389176779007,0.624890094377672,0.3304752435883632,0.6345026350461133,0.4029964165179922,3.6705782471976915,-2.031727228577501
Qwen3.5-9B,tail,d3,14,1121,0.5373909774724709,0.5820119782737412,0.6057091882247992,0.28099910793933985,0.3247100802854594,3.4552854620234643,1.870149418126626,-1.5851360438968385,0.5001183594522037,0.29994294930551496,0.5562739819948856,0.3158111440290362,3.523574874002326,-1.642347845682267
Qwen3.5-9B,tail,d4,14,5239,0.3732013880056749,0.44780168024739825,0.45695743462492844,0.2842145447604505,0.17274288986447794,3.471786124356901,1.8960440914739856,-1.5757420328829155,0.3990210099197423,0.14121632349229582,0.4642574948289715,0.19300417948490506,3.3971333135292063,-1.4931752920548167
Qwen3.5-9B,tail,d5,14,11788,0.3691919799856161,0.43741904014107325,0.4340855106888361,0.27570410587037664,0.15838140481845944,3.3740403371543373,2.0567685368558486,-1.3172718002984887,0.3795267269645925,0.15736358758930732,0.44540603008005797,0.16108772145017902,3.345232560494631,-1.3040854029323454
Gemma-4-E4B-it,hub,d1,15,267,0.005538531381228013,0.03234593122233572,0.8239700374531835,0.8164794007490637,0.007490636704119854,7.182584233796807,6.147413361849785,-1.035170871947022,0.0035858585858585873,0.06898653436934951,0.03106060606060606,0.005524601144805752,6.955315992547576,-1.1459331537571806
Gemma-4-E4B-it,hub,d2,15,1539,0.03188598287305734,0.07646892262336327,0.47173489278752434,0.45743989603638724,0.014294996751137126,4.117568211468794,3.9746385586127593,-0.14292965285603448,0.09300772995371605,0.24554121133684959,0.1324209414791876,0.04500788270576921,4.200879141665652,-0.20763053632249245
Gemma-4-E4B-it,hub,d3,15,6854,0.030875679644691508,0.11717920217515106,0.327545958564342,0.31747884447038227,0.01006711409395972,4.25645607913205,4.457373203224667,0.20091712409261614,0.021647517257170245,0.06698560325532796,0.10191848427682529,0.0067406167719673135,4.345034416993088,0.234637216928933
Gemma-4-E4B-it,hub,d4,15,13874,0.023161956492397925,0.10469488310674671,0.3106530200374802,0.30387775695545627,0.006775263082023929,4.139419954110282,4.589755977186537,0.45033602307625525,0.02122036707431062,0.06003143427443114,0.09735752634530168,0.006196934865900381,4.2403684834360575,0.4013271144647018
Gemma-4-E4B-it,hub,d5,15,14003,0.03481195592822206,0.10239365882318827,0.3278583160751268,0.3170034992501607,0.010854816824966078,4.301801394061945,4.738658397747247,0.43685700368530167,0.0989647879241929,0.2461582833530302,0.1620545603000737,0.03228888888888889,4.20142777622852,0.2831955698056635
Gemma-4-E4B-it,random,d1,15,81,0.1323529411764706,0.1323529411764706,0.2345679012345679,0.20987654320987653,0.024691358024691357,4.993827143607318,5.7145061394513945,0.7206789958440766,0.11904761904761905,0.19342948582466574,0.11904761904761904,0.024603174603174606,5.141402092716789,0.3019146849716116
Gemma-4-E4B-it,random,d2,15,546,0.001113007071392943,0.06885448865272321,0.6410256410256411,0.6208791208791209,0.02014652014652014,5.775526530307159,5.084764198820843,-0.6907623314863163,-0.009021433939466719,0.17519400907514804,0.06492759517349682,0.01608715578223245,5.796407917654965,-0.6763496517464893
Gemma-4-E4B-it,random,d3,15,2937,0.050786811919855464,0.09226944213597622,0.438883214164113,0.4174327545114062,0.021450459652706838,4.068309492285443,3.871592503365847,-0.196716988919597,0.04319035984021179,0.05068570666179969,0.08489182547911335,0.018931034185821483,4.269623939017762,-0.16938013059007673
Gemma-4-E4B-it,random,d4,15,10573,0.05535435226064972,0.13002981744711928,0.3474888867870992,0.33046439042844983,0.017024496358649402,4.169517870418952,4.215749697357175,0.04623182693822373,0.04443570564488367,0.07884868681047429,0.11423808400012428,0.013582812143055343,4.2299632992064105,0.05504774670370492
Gemma-4-E4B-it,random,d5,15,14433,0.05984555289010186,0.12539215164452855,0.3250883392226148,0.30617335273331947,0.01891498648929535,4.25309186758995,4.428445568521868,0.17535370093191885,0.05943230403433427,0.04790694130677222,0.1231175457036697,0.01898568129330253,4.258807586701003,0.16913454020198768
Gemma-4-E4B-it,tail,d1,15,19,0.36363636363636365,0.36363636363636365,0.5263157894736842,0.3157894736842105,0.21052631578947367,5.48684206568348,4.243420994151261,-1.2434210715322191,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.26666666666666666,5.7847221759736485,-1.1458333435423103
Gemma-4-E4B-it,tail,d2,14,194,0.05153819016969412,0.0515381901696941,0.7938144329896907,0.7525773195876289,0.04123711340206188,6.946842769896772,6.063627577937304,-0.8832151919594692,0.10887406675450155,0.2729272400396574,0.10887406675450154,0.056381248151434506,5.6353074098847875,-0.4109147976665279
Gemma-4-E4B-it,tail,d3,14,1121,0.05330555069853021,0.06986803788914385,0.5361284567350579,0.5156110615521855,0.02051739518287244,3.9854482507316358,4.020238614351907,0.03479036362027131,0.05049429311001854,0.09159469388272481,0.07118477840832482,0.01636673364401146,4.332009163511153,-0.026212018564221968
Gemma-4-E4B-it,tail,d4,14,5239,0.07571811043487911,0.1566001318067852,0.3302156900171789,0.3078831838137049,0.022332506203473945,4.28917731597295,4.486060072951687,0.19688275697873614,0.05373240867417029,0.07044440791037072,0.14267358219705792,0.014948428137942355,4.372372812572303,0.1485108741051245
Gemma-4-E4B-it,tail,d5,14,11788,0.04107254141485889,0.12303692502645149,0.3140481845945029,0.3012385476756023,0.012809636918900575,4.1556614738605635,4.388262955120817,0.2326014812602537,0.03095308295241582,0.05522274502518576,0.1179343294098597,0.009741193066607675,4.202947771232803,0.26864058718656125
Gemma-4-31B-it,hub,d1,15,267,0.49215084229129175,0.4977688198193816,0.846441947565543,0.41198501872659177,0.4344569288389513,11.835908163094272,3.5941011208844893,-8.241807042209782,0.4666798941798942,0.3387412563314234,0.4750132275132275,0.40567483091981676,11.875801121571875,-8.381799128413789
Gemma-4-31B-it,hub,d2,15,1539,0.22623085012634414,0.29083078417150277,0.5867446393762183,0.45743989603638724,0.12930474333983105,8.166874755843551,2.88255360675428,-5.284321149089272,0.1674509333025672,0.25643532293593896,0.26232782728132087,0.09870090004021184,8.609117769334967,-5.665895397689998
Gemma-4-31B-it,hub,d3,15,6854,0.1730137081680609,0.24078952692733377,0.49679019550627374,0.41406477969069155,0.08272541581558213,7.895512623481625,3.255968229329307,-4.6395443941523205,0.17349896024588446,0.17033134149582818,0.24020908977375077,0.0785121594384236,7.563397009964069,-4.2448431573583285
Gemma-4-31B-it,hub,d4,15,13874,0.16536838941364312,0.2351363343494562,0.4597808851088367,0.38438806400461295,0.07539282110422373,7.158484647789222,3.250126133231055,-3.908358514558167,0.15357226226585224,0.1444798065320151,0.21857142860361872,0.07002222222222222,7.38287618095792,-4.022511247878503
Gemma-4-31B-it,hub,d5,15,14003,0.18214633475978093,0.24666982995836645,0.4599728629579376,0.3742769406555738,0.08569592230236378,7.317622196989617,3.344238733823006,-3.973383463166612,0.23650634170941415,0.2512489127764492,0.296741175260467,0.10215555555555556,6.972485908956662,-3.6982081259213966
Gemma-4-31B-it,random,d1,15,81,0.3353658536585366,0.3353658536585366,0.3333333333333333,0.25925925925925924,0.07407407407407407,6.43479937546633,3.9151234246751243,-2.519675950791205,0.3055555555555556,0.4044505494044732,0.3055555555555556,0.07259259259259258,6.936438482072135,-2.8967427474246548
Gemma-4-31B-it,random,d2,15,546,0.12796469181865014,0.2102324440475986,0.706959706959707,0.5824175824175825,0.12454212454212454,10.390682174054993,4.31112637330903,-6.079555800745965,0.18573916658770662,0.3741387932587043,0.27649847357774127,0.1828179935175579,10.091718988670394,-5.897498726493457
Gemma-4-31B-it,random,d3,15,2937,0.09778559746402389,0.15821503398887213,0.5682669390534559,0.5114061967994552,0.05686074225400068,8.070216701029508,3.9393726590294813,-4.130844042000027,0.13718884223632938,0.1765680748139515,0.19712301281942401,0.08791629232635187,8.11676664787308,-4.374921985013019
Gemma-4-31B-it,random,d4,15,10573,0.09330016662491337,0.16681736996177077,0.5119644377187175,0.4664712002269933,0.045493237491724216,8.006375283938127,4.246606924179424,-3.7597683597587044,0.12834724654262558,0.14780979326594199,0.1976618331096927,0.061751439008968886,7.95925735408589,-3.9725750977095586
Gemma-4-31B-it,random,d5,15,14433,0.110842656998565,0.18287805090610998,0.464075382803298,0.4117647058823529,0.052310676920945064,7.387855164452296,4.021744873073814,-3.3661102913784826,0.11722986878420273,0.10512630741771017,0.18758269177451958,0.055658506543494995,7.382151823952692,-3.411370650657645
Gemma-4-31B-it,tail,d1,15,19,0.4090909090909091,0.4090909090909091,0.5263157894736842,0.42105263157894735,0.10526315789473684,7.723684203635057,3.911184220325116,-3.8124999833099404,0.3888888888888889,0.4581228472908512,0.3888888888888889,0.08888888888888889,7.560416675163118,-3.435416654845734
Gemma-4-31B-it,tail,d2,14,194,0.3615663991428258,0.3834227979523495,0.8144329896907216,0.5103092783505154,0.30412371134020616,11.182989622812643,3.6414304261444466,-7.541559196668194,0.3354372077198164,0.36686442603211555,0.3608492956319043,0.21137799353310957,9.5532437504822,-6.019454631696188
Gemma-4-31B-it,tail,d3,14,1121,0.24688012017211386,0.31103523119292154,0.6297948260481713,0.45495093666369313,0.17484388938447815,8.123801252713285,3.238793485956645,-4.885007766756639,0.2442259952568914,0.288763464851891,0.309417575692899,0.1818448663177535,8.521991781664688,-5.2475651029057495
Gemma-4-31B-it,tail,d4,14,5239,0.12730705916559903,0.19685899758928493,0.5060125978240122,0.44283260164153465,0.06317999618247756,8.165984646582658,3.7977428889967295,-4.368241757585928,0.12534434511950227,0.10705922308797694,0.19643356371940363,0.0605855258247238,7.934080461701338,-4.0561591808333795
Gemma-4-31B-it,tail,d5,14,11788,0.1296135936277055,0.20694510795612248,0.46784865965388533,0.4095690532745165,0.058279606379368847,7.463674957741033,3.907371371667248,-3.556303586073785,0.12722568527832787,0.14121243247097193,0.21059910591472228,0.05596990819472731,7.399310531004377,-3.5497979793113337
