model,group,target,subject,hop,count,clean_correct,flip_count,flip_rate,epr,clean_acc,poisoned_acc_raw,poisoned_acc_judge,clean_margin_avg,poisoned_margin_avg,margin_change_avg
Gemma-4-31B-it,hub,hub_3,United States,d5,1000,477,138,0.2893081761006289,0.2893081761006289,0.477,0.349,0.363,7.622812479669232,2.230937501655164,-5.391874978014068
Qwen3.5-2B,hub,hub_9,France,d1,28,24,21,0.875,0.875,0.8571428571428571,0.10714285714285714,0.10714285714285714,3.763392844035739,2.2187499934973727,-1.5446428505383665
Qwen3.5-2B,hub,hub_9,France,d2,135,49,9,0.1836734693877551,0.1836734693877551,0.362962962962963,0.2962962962962963,0.3037037037037037,3.19814815412241,2.097222226989214,-1.100925927133196
Qwen3.5-2B,hub,hub_9,France,d3,459,124,56,0.45161290322580644,0.45161290322580644,0.2701525054466231,0.15904139433551198,0.1721132897603486,2.6898148147831114,2.5848311542153275,-0.10498366056778367
Qwen3.5-2B,hub,hub_9,France,d4,1000,336,108,0.32142857142857145,0.32142857142857145,0.336,0.242,0.252,2.8007499952922226,2.7513124991874647,-0.04943749610475788
Qwen3.5-2B,hub,hub_9,France,d5,1000,357,136,0.38095238095238093,0.38095238095238093,0.357,0.241,0.249,2.6810000010008808,2.752000001201384,0.07100000020050357
Qwen3.5-9B,hub,hub_9,France,d1,28,23,14,0.6086956521739131,0.6086956521739131,0.8214285714285714,0.32142857142857145,0.32142857142857145,4.60044644527183,1.5848214417097293,-3.015625003562101
Qwen3.5-9B,hub,hub_9,France,d2,135,55,28,0.509090909090909,0.509090909090909,0.4074074074074074,0.21481481481481482,0.22962962962962963,3.2467592850973164,1.4981481486353678,-1.7486111364619488
Qwen3.5-9B,hub,hub_9,France,d3,459,173,82,0.47398843930635837,0.47398843930635837,0.3769063180827887,0.22004357298474944,0.2374727668845316,3.0860566486598677,1.718954248401521,-1.3671024002583467
Qwen3.5-9B,hub,hub_9,France,d4,1000,441,194,0.4399092970521542,0.4399092970521542,0.441,0.257,0.277,3.2544999963342054,1.8221250015203259,-1.4323749948138793
Qwen3.5-9B,hub,hub_9,France,d5,1000,455,182,0.4,0.4,0.455,0.297,0.322,3.0848124989476857,1.9319374983444577,-1.1528750006032278
Gemma-4-E4B-it,hub,hub_9,France,d1,28,24,1,0.041666666666666664,0.041666666666666664,0.8571428571428571,0.8214285714285714,0.8214285714285714,7.029017779390626,5.870535701509003,-1.1584820778816234
Gemma-4-E4B-it,hub,hub_9,France,d2,135,49,5,0.10204081632653061,0.10204081632653061,0.362962962962963,0.37037037037037035,0.37777777777777777,3.532870350541395,3.4055555422778423,-0.12731480826355268
Gemma-4-E4B-it,hub,hub_9,France,d3,459,109,9,0.08256880733944955,0.08256880733944955,0.2374727668845316,0.2374727668845316,0.24618736383442266,4.203159036791047,4.592933005093121,0.3897739683020736
Gemma-4-E4B-it,hub,hub_9,France,d4,1000,337,8,0.02373887240356083,0.02373887240356083,0.337,0.357,0.368,4.420749993673816,5.001312504543248,0.5805625108694321
Gemma-4-E4B-it,hub,hub_9,France,d5,1000,353,26,0.07365439093484419,0.07365439093484419,0.353,0.345,0.359,4.252812498361171,4.523843745910384,0.271031247549214
Gemma-4-31B-it,hub,hub_9,France,d1,28,24,20,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.14285714285714285,0.14285714285714285,10.180803516215198,6.089285709524639,-4.091517806690559
Gemma-4-31B-it,hub,hub_9,France,d2,135,61,48,0.7868852459016393,0.7868852459016393,0.45185185185185184,0.1111111111111111,0.11851851851851852,7.0002314554519405,2.1087963125953038,-4.891435142856636
Gemma-4-31B-it,hub,hub_9,France,d3,459,187,135,0.7219251336898396,0.7219251336898396,0.4074074074074074,0.12200435729847495,0.1394335511982571,7.110566428768755,2.125680827788873,-4.984885600979884
Gemma-4-31B-it,hub,hub_9,France,d4,1000,454,281,0.6189427312775331,0.6189427312775331,0.454,0.179,0.193,6.856906216256146,2.1282500007468914,-4.728656215509254
Gemma-4-31B-it,hub,hub_9,France,d5,1000,489,314,0.6421267893660532,0.6421267893660532,0.489,0.172,0.209,6.94632808985716,2.140812495813458,-4.805515594043701
Qwen3.5-2B,hub,hub_5,India,d1,23,22,8,0.36363636363636365,0.36363636363636365,0.9565217391304348,0.6086956521739131,0.6086956521739131,4.663043489381064,1.9456521652261827,-2.717391324154881
Qwen3.5-2B,hub,hub_5,India,d2,147,70,4,0.05714285714285714,0.05714285714285714,0.47619047619047616,0.46258503401360546,0.46938775510204084,2.910714285281094,2.643707474211166,-0.2670068110699281
Qwen3.5-2B,hub,hub_5,India,d3,614,181,52,0.287292817679558,0.287292817679558,0.2947882736156352,0.23452768729641693,0.255700325732899,2.9576547285378836,3.065553746873787,0.10789901833590317
Qwen3.5-2B,hub,hub_5,India,d4,1000,283,56,0.1978798586572438,0.1978798586572438,0.283,0.259,0.271,2.607374999554828,2.9099374960698476,0.30256249651502004
Qwen3.5-2B,hub,hub_5,India,d5,1000,332,64,0.1927710843373494,0.1927710843373494,0.332,0.291,0.301,3.01712500380096,3.4632499936454986,0.4461249898445385
Qwen3.5-9B,hub,hub_5,India,d1,23,21,18,0.8571428571428571,0.8571428571428571,0.9130434782608695,0.17391304347826086,0.17391304347826086,4.842391303411442,4.451086993045781,-0.391304310365661
Qwen3.5-9B,hub,hub_5,India,d2,147,78,61,0.782051282051282,0.782051282051282,0.5306122448979592,0.12244897959183673,0.14965986394557823,3.323979599895922,1.8771258460111888,-1.4468537538847333
Qwen3.5-9B,hub,hub_5,India,d3,614,246,119,0.483739837398374,0.483739837398374,0.4006514657980456,0.2263843648208469,0.249185667752443,3.251221503298652,1.7497964180808865,-1.5014250852177655
Qwen3.5-9B,hub,hub_5,India,d4,1000,384,201,0.5234375,0.5234375,0.384,0.208,0.235,3.032437501367138,2.2620000010155636,-0.7704375003515743
Qwen3.5-9B,hub,hub_5,India,d5,1000,442,291,0.6583710407239819,0.6583710407239819,0.442,0.179,0.216,3.4276250017811583,2.315812500932756,-1.111812500848402
Gemma-4-E4B-it,hub,hub_5,India,d1,23,22,1,0.045454545454545456,0.045454545454545456,0.9565217391304348,0.9130434782608695,0.9130434782608695,8.100543551667057,7.3233695344612855,-0.7771740172057712
Gemma-4-E4B-it,hub,hub_5,India,d2,147,68,3,0.04411764705882353,0.04411764705882353,0.46258503401360546,0.46938775510204084,0.47619047619047616,3.6921768710848,3.2283163148762233,-0.4638605562085766
Gemma-4-E4B-it,hub,hub_5,India,d3,614,169,25,0.14792899408284024,0.14792899408284024,0.2752442996742671,0.2719869706840391,0.28827361563517917,4.4932817470847795,4.22231270040703,-0.27096904667774974
Gemma-4-E4B-it,hub,hub_5,India,d4,1000,263,27,0.10266159695817491,0.10266159695817491,0.263,0.282,0.3,4.0898749987910685,4.173874998843268,0.08400000005219954
Gemma-4-E4B-it,hub,hub_5,India,d5,1000,358,22,0.061452513966480445,0.061452513966480445,0.358,0.354,0.379,4.446374996274633,4.439812502138797,-0.006562494135836232
Gemma-4-31B-it,hub,hub_5,India,d1,23,22,5,0.22727272727272727,0.22727272727272727,0.9565217391304348,0.7391304347826086,0.7391304347826086,12.563858564237174,3.0978260826238473,-9.466032481613327
Gemma-4-31B-it,hub,hub_5,India,d2,147,83,7,0.08433734939759036,0.08433734939759036,0.564625850340136,0.564625850340136,0.5782312925170068,7.545333715941785,2.7759353680122163,-4.7693983479295685
Gemma-4-31B-it,hub,hub_5,India,d3,614,302,33,0.10927152317880795,0.10927152317880795,0.49185667752442996,0.46742671009771986,0.48534201954397393,8.248600334660024,4.214932818426454,-4.033667516233576
Gemma-4-31B-it,hub,hub_5,India,d4,1000,410,47,0.11463414634146342,0.11463414634146342,0.41,0.391,0.412,6.48807809707782,3.8610624972469667,-2.6270155998308558
Gemma-4-31B-it,hub,hub_5,India,d5,1000,461,48,0.10412147505422993,0.10412147505422993,0.461,0.445,0.488,7.7403593420137335,4.1388749982547655,-3.6014843437589694
Qwen3.5-2B,hub,hub_7,Germany,d1,24,21,16,0.7619047619047619,0.7619047619047619,0.875,0.20833333333333334,0.20833333333333334,4.161458338028751,1.6562500042685617,-2.5052083337601894
Qwen3.5-2B,hub,hub_7,Germany,d2,136,62,16,0.25806451612903225,0.25806451612903225,0.45588235294117646,0.34558823529411764,0.35294117647058826,3.3722426604692695,2.9912683809897693,-0.3809742794795003
Qwen3.5-2B,hub,hub_7,Germany,d3,548,188,64,0.3404255319148936,0.3404255319148936,0.34306569343065696,0.2427007299270073,0.27007299270072993,3.2892335824338916,4.444571163556779,1.1553375811228868
Qwen3.5-2B,hub,hub_7,Germany,d4,1000,331,97,0.2930513595166163,0.2930513595166163,0.331,0.244,0.262,2.8651250005211915,3.8345000013628576,0.9693750008416664
Qwen3.5-2B,hub,hub_7,Germany,d5,1000,289,83,0.28719723183391005,0.28719723183391005,0.289,0.236,0.251,2.9050000050304807,4.162562498865136,1.2575624938346555
Qwen3.5-9B,hub,hub_7,Germany,d1,24,21,20,0.9523809523809523,0.9523809523809523,0.875,0.041666666666666664,0.041666666666666664,4.2031250044916915,1.562499989445011,-2.6406250150466803
Qwen3.5-9B,hub,hub_7,Germany,d2,136,72,19,0.2638888888888889,0.2638888888888889,0.5294117647058824,0.40441176470588236,0.4338235294117647,3.8759191115350404,2.1976102988720574,-1.678308812662983
Qwen3.5-9B,hub,hub_7,Germany,d3,548,253,78,0.308300395256917,0.308300395256917,0.46167883211678834,0.34124087591240876,0.3740875912408759,3.58188868943114,2.4160583959144617,-1.1658302935166784
Qwen3.5-9B,hub,hub_7,Germany,d4,1000,439,136,0.3097949886104784,0.3097949886104784,0.439,0.324,0.359,3.263249999686872,2.3386250005597247,-0.924624999127147
Qwen3.5-9B,hub,hub_7,Germany,d5,1000,408,141,0.34558823529411764,0.34558823529411764,0.408,0.298,0.338,3.4212499983755333,2.5011249974793026,-0.9201250008962306
Gemma-4-E4B-it,hub,hub_7,Germany,d1,24,22,1,0.045454545454545456,0.045454545454545456,0.9166666666666666,0.9166666666666666,0.9166666666666666,7.578124963022067,7.859374922859085,0.2812499598370171
Gemma-4-E4B-it,hub,hub_7,Germany,d2,136,59,5,0.0847457627118644,0.0847457627118644,0.4338235294117647,0.4117647058823529,0.4338235294117647,3.939338227796939,4.118336390022652,0.1789981622257127
Gemma-4-E4B-it,hub,hub_7,Germany,d3,548,187,15,0.08021390374331551,0.08021390374331551,0.34124087591240876,0.34306569343065696,0.36678832116788324,4.6901231648872175,5.384238141262628,0.6941149763754103
Gemma-4-E4B-it,hub,hub_7,Germany,d4,1000,315,12,0.0380952380952381,0.0380952380952381,0.315,0.319,0.342,4.132625000333205,5.253285152352977,1.1206601520197723
Gemma-4-E4B-it,hub,hub_7,Germany,d5,1000,298,21,0.07046979865771812,0.07046979865771812,0.298,0.306,0.338,3.9520625007267594,4.883031241384593,0.9309687406578336
Gemma-4-31B-it,hub,hub_7,Germany,d1,24,22,6,0.2727272727272727,0.2727272727272727,0.9166666666666666,0.6666666666666666,0.6666666666666666,11.303385299555137,3.6406249737877565,-7.66276032576738
Gemma-4-31B-it,hub,hub_7,Germany,d2,136,77,9,0.11688311688311688,0.11688311688311688,0.5661764705882353,0.5367647058823529,0.5588235294117647,8.083639663969794,3.448988961161403,-4.634650702808391
Gemma-4-31B-it,hub,hub_7,Germany,d3,548,280,34,0.12142857142857143,0.12142857142857143,0.5109489051094891,0.46897810218978103,0.4981751824817518,8.415659187578063,3.8203695258122643,-4.595289661765799
Gemma-4-31B-it,hub,hub_7,Germany,d4,1000,445,38,0.0853932584269663,0.0853932584269663,0.445,0.423,0.457,6.552140607640729,3.790281243864616,-2.761859363776119
Gemma-4-31B-it,hub,hub_7,Germany,d5,1000,454,49,0.10792951541850221,0.10792951541850221,0.454,0.423,0.477,7.164437471028174,4.0811250017988385,-3.0833124692293388
Qwen3.5-2B,hub,hub_8,Canada,d1,21,20,1,0.05,0.05,0.9523809523809523,0.8095238095238095,0.9047619047619048,4.291666694251554,2.041666673418755,-2.250000020832799
Qwen3.5-2B,hub,hub_8,Canada,d2,117,70,8,0.11428571428571428,0.11428571428571428,0.5982905982905983,0.5555555555555556,0.5726495726495726,3.7190171069949147,3.5454059771122375,-0.17361112988267755
Qwen3.5-2B,hub,hub_8,Canada,d3,535,141,37,0.2624113475177305,0.2624113475177305,0.2635514018691589,0.2261682242990654,0.2560747663551402,3.252803730303813,4.4260514060683525,1.1732476757645387
Qwen3.5-2B,hub,hub_8,Canada,d4,1000,280,60,0.21428571428571427,0.21428571428571427,0.28,0.251,0.272,2.7571875030632946,3.689749999337604,0.9325624962743095
Qwen3.5-2B,hub,hub_8,Canada,d5,1000,312,55,0.1762820512820513,0.1762820512820513,0.312,0.279,0.299,2.818125000098953,3.780000000363427,0.9618750002644738
Qwen3.5-9B,hub,hub_8,Canada,d1,21,21,20,0.9523809523809523,0.9523809523809523,1.0,0.047619047619047616,0.047619047619047616,4.976190505992799,3.845238083707435,-1.1309524222853637
Qwen3.5-9B,hub,hub_8,Canada,d2,117,89,28,0.3146067415730337,0.3146067415730337,0.7606837606837606,0.5299145299145299,0.5641025641025641,4.127136747421807,2.12553418331887,-2.0016025641029374
Qwen3.5-9B,hub,hub_8,Canada,d3,535,209,67,0.32057416267942584,0.32057416267942584,0.39065420560747666,0.29345794392523367,0.32897196261682243,3.627336449053157,2.565186917979627,-1.0621495310735298
Qwen3.5-9B,hub,hub_8,Canada,d4,1000,419,135,0.3221957040572792,0.3221957040572792,0.419,0.306,0.346,3.196374999111969,2.3376249975502725,-0.858750001561697
Qwen3.5-9B,hub,hub_8,Canada,d5,1000,433,128,0.2956120092378753,0.2956120092378753,0.433,0.332,0.382,3.1677500016792037,2.2200000042811734,-0.9477499973980302
Gemma-4-E4B-it,hub,hub_8,Canada,d1,21,21,0,0.0,0.0,1.0,1.0,1.0,8.651785645521201,6.517857092572653,-2.1339285529485488
Gemma-4-E4B-it,hub,hub_8,Canada,d2,117,79,3,0.0379746835443038,0.0379746835443038,0.6752136752136753,0.6666666666666666,0.7094017094017094,3.992521354535478,3.955662401694542,-0.03685895284093604
Gemma-4-E4B-it,hub,hub_8,Canada,d3,535,125,4,0.032,0.032,0.2336448598130841,0.2560747663551402,0.2803738317757009,4.189252328233133,4.556717283298036,0.3674649550649035
Gemma-4-E4B-it,hub,hub_8,Canada,d4,1000,285,15,0.05263157894736842,0.05263157894736842,0.285,0.29,0.317,4.169499998159296,4.6069687456308,0.4374687474715054
Gemma-4-E4B-it,hub,hub_8,Canada,d5,1000,325,18,0.055384615384615386,0.055384615384615386,0.325,0.336,0.372,4.087687498496708,4.592687494913862,0.5049999964171539
Gemma-4-31B-it,hub,hub_8,Canada,d1,21,21,20,0.9523809523809523,0.9523809523809523,1.0,0.047619047619047616,0.047619047619047616,13.992559516477476,6.250000030024759,-7.742559486452716
Gemma-4-31B-it,hub,hub_8,Canada,d2,117,96,34,0.3541666666666667,0.3541666666666667,0.8205128205128205,0.5299145299145299,0.5726495726495726,7.76829590366038,2.371794886666432,-5.396501016993949
Gemma-4-31B-it,hub,hub_8,Canada,d3,535,228,58,0.2543859649122807,0.2543859649122807,0.4261682242990654,0.34205607476635513,0.37570093457943926,7.682009320841519,2.3831775699496798,-5.29883175089184
Gemma-4-31B-it,hub,hub_8,Canada,d4,1000,444,122,0.2747747747747748,0.2747747747747748,0.444,0.334,0.378,6.570921850750603,2.6699999989524077,-3.9009218517981954
Gemma-4-31B-it,hub,hub_8,Canada,d5,1000,465,114,0.24516129032258063,0.24516129032258063,0.465,0.369,0.435,7.10593746400745,2.8119375023079773,-4.293999961699477
Qwen3.5-2B,hub,hub_10,Spain,d1,19,18,16,0.8888888888888888,0.8888888888888888,0.9473684210526315,0.10526315789473684,0.21052631578947367,4.881578957992851,1.4736841956251545,-3.4078947623676963
Qwen3.5-2B,hub,hub_10,Spain,d2,76,30,8,0.26666666666666666,0.26666666666666666,0.39473684210526316,0.3026315789473684,0.32894736842105265,2.8832236944979646,2.287828932430497,-0.5953947620674673
Qwen3.5-2B,hub,hub_10,Spain,d3,368,97,41,0.422680412371134,0.422680412371134,0.26358695652173914,0.17119565217391305,0.21739130434782608,3.6141304213171837,2.1793478293877104,-1.4347825919294732
Qwen3.5-2B,hub,hub_10,Spain,d4,870,303,132,0.43564356435643564,0.43564356435643564,0.3482758620689655,0.21149425287356322,0.23793103448275862,2.751149423826645,1.9293103479548763,-0.8218390758717686
Qwen3.5-2B,hub,hub_10,Spain,d5,1000,387,170,0.4392764857881137,0.4392764857881137,0.387,0.231,0.26,3.0109374939570555,2.0366250004972097,-0.9743124934598454
Qwen3.5-9B,hub,hub_10,Spain,d1,19,18,17,0.9444444444444444,0.9444444444444444,0.9473684210526315,0.05263157894736842,0.05263157894736842,4.144736931708298,2.052631590221273,-2.092105341487025
Qwen3.5-9B,hub,hub_10,Spain,d2,76,37,27,0.7297297297297297,0.7297297297297297,0.4868421052631579,0.13157894736842105,0.19736842105263158,3.5131579235528894,1.680098682145686,-1.833059241407203
Qwen3.5-9B,hub,hub_10,Spain,d3,368,152,81,0.5328947368421053,0.5328947368421053,0.41304347826086957,0.22282608695652173,0.27717391304347827,3.7165421069623887,1.7736073358051805,-1.9429347711572083
Qwen3.5-9B,hub,hub_10,Spain,d4,870,397,213,0.5365239294710328,0.5365239294710328,0.45632183908045976,0.23218390804597702,0.28620689655172415,3.216379309319616,1.800862069589878,-1.4155172397297378
Qwen3.5-9B,hub,hub_10,Spain,d5,1000,460,280,0.6086956521739131,0.6086956521739131,0.46,0.209,0.27,3.414500004409296,1.8754999994360841,-1.5390000049732115
Gemma-4-E4B-it,hub,hub_10,Spain,d1,19,18,0,0.0,0.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,8.18421045736039,7.8618420383997885,-0.3223684189606023
Gemma-4-E4B-it,hub,hub_10,Spain,d2,76,34,2,0.058823529411764705,0.058823529411764705,0.4473684210526316,0.40789473684210525,0.5,3.4325657845631787,4.328124999945622,0.8955592153824431
Gemma-4-E4B-it,hub,hub_10,Spain,d3,368,93,6,0.06451612903225806,0.06451612903225806,0.25271739130434784,0.2608695652173913,0.29891304347826086,4.689877721179325,5.494395370518324,0.8045176493389995
Gemma-4-E4B-it,hub,hub_10,Spain,d4,870,299,15,0.05016722408026756,0.05016722408026756,0.34367816091954023,0.35172413793103446,0.38620689655172413,3.9266522912234914,4.806034482105411,0.8793821908819199
Gemma-4-E4B-it,hub,hub_10,Spain,d5,1000,382,25,0.06544502617801047,0.06544502617801047,0.382,0.383,0.421,4.388187486825191,5.070312498504707,0.6821250116795166
Gemma-4-31B-it,hub,hub_10,Spain,d1,19,18,10,0.5555555555555556,0.5555555555555556,0.9473684210526315,0.42105263157894735,0.42105263157894735,11.429276209823723,2.151315794865552,-9.277960414958171
Gemma-4-31B-it,hub,hub_10,Spain,d2,76,38,8,0.21052631578947367,0.21052631578947367,0.5,0.39473684210526316,0.47368421052631576,6.715049323332078,2.398026300241901,-4.317023023090177
Gemma-4-31B-it,hub,hub_10,Spain,d3,368,147,21,0.14285714285714285,0.14285714285714285,0.39945652173913043,0.3695652173913043,0.4266304347826087,7.431385865735323,3.167629067397644,-4.26375679833768
Gemma-4-31B-it,hub,hub_10,Spain,d4,870,407,40,0.09828009828009827,0.09828009828009827,0.46781609195402296,0.43448275862068964,0.49770114942528737,6.371264342238244,2.68297413520899,-3.688290207029253
Gemma-4-31B-it,hub,hub_10,Spain,d5,1000,505,60,0.1188118811881188,0.1188118811881188,0.505,0.468,0.543,7.671320286435126,3.194281250179527,-4.477039036255608
Qwen3.5-2B,hub,hub_6,Italy,d1,19,16,8,0.5,0.5,0.8421052631578947,0.42105263157894735,0.5263157894736842,4.203947361803761,2.493421063917738,-1.7105262978860225
Qwen3.5-2B,hub,hub_6,Italy,d2,94,74,1,0.013513513513513514,0.013513513513513514,0.7872340425531915,0.776595744680851,0.7978723404255319,3.972074472335504,4.628989333233318,0.6569148608978139
Qwen3.5-2B,hub,hub_6,Italy,d3,558,158,58,0.3670886075949367,0.3670886075949367,0.2831541218637993,0.2078853046594982,0.24372759856630824,3.149641570740289,5.502128143072325,2.352486572332035
Qwen3.5-2B,hub,hub_6,Italy,d4,1000,300,60,0.2,0.2,0.3,0.26,0.289,2.702312495007645,3.658249996448929,0.9559375014412835
Qwen3.5-2B,hub,hub_6,Italy,d5,1000,405,70,0.1728395061728395,0.1728395061728395,0.405,0.357,0.387,2.932749995008635,4.423437498855346,1.4906875038467116
Qwen3.5-9B,hub,hub_6,Italy,d1,19,16,16,1.0,1.0,0.8421052631578947,0.0,0.0,4.914473712390693,0.5065789442313345,-4.407894768159359
Qwen3.5-9B,hub,hub_6,Italy,d2,94,75,69,0.92,0.92,0.7978723404255319,0.06382978723404255,0.11702127659574468,4.022606385107019,0.8351063749733123,-3.187500010133706
Qwen3.5-9B,hub,hub_6,Italy,d3,558,241,102,0.42323651452282157,0.42323651452282157,0.43189964157706096,0.27956989247311825,0.3333333333333333,3.2576164853252454,1.163418459739389,-2.094198025585856
Qwen3.5-9B,hub,hub_6,Italy,d4,1000,399,263,0.6591478696741855,0.6591478696741855,0.399,0.157,0.208,3.152499998608866,1.2723125000263098,-1.8801874985825562
Qwen3.5-9B,hub,hub_6,Italy,d5,1000,494,321,0.6497975708502024,0.6497975708502024,0.494,0.206,0.274,3.380187496949729,1.2363750007967464,-2.1438124961529827
Gemma-4-E4B-it,hub,hub_6,Italy,d1,19,16,0,0.0,0.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,7.638157872154807,6.67434208514705,-0.9638157870077568
Gemma-4-E4B-it,hub,hub_6,Italy,d2,94,74,0,0.0,0.0,0.7872340425531915,0.7872340425531915,0.8617021276595744,4.648936147358654,4.181515959706303,-0.46742018765235116
Gemma-4-E4B-it,hub,hub_6,Italy,d3,558,163,21,0.12883435582822086,0.12883435582822086,0.2921146953405018,0.25268817204301075,0.2885304659498208,4.36469533021734,4.766465060573349,0.40176973035600916
Gemma-4-E4B-it,hub,hub_6,Italy,d4,1000,284,22,0.07746478873239436,0.07746478873239436,0.284,0.274,0.309,4.190374988532667,4.623437501004793,0.4330625124721256
Gemma-4-E4B-it,hub,hub_6,Italy,d5,1000,420,28,0.06666666666666667,0.06666666666666667,0.42,0.402,0.447,4.516374991924599,4.891906243714393,0.37553125178979324
Gemma-4-31B-it,hub,hub_6,Italy,d1,19,16,15,0.9375,0.9375,0.8421052631578947,0.05263157894736842,0.05263157894736842,12.84210519321203,3.447368420942343,-9.394736772269686
Gemma-4-31B-it,hub,hub_6,Italy,d2,94,74,15,0.20270270270270271,0.20270270270270271,0.7872340425531915,0.5851063829787234,0.6914893617021277,10.163231321672535,4.1515957634552985,-6.011635558217239
Gemma-4-31B-it,hub,hub_6,Italy,d3,558,252,41,0.1626984126984127,0.1626984126984127,0.45161290322580644,0.4103942652329749,0.46953405017921146,7.6291442342755404,4.947356628374696,-2.6817876059008436
Gemma-4-31B-it,hub,hub_6,Italy,d4,1000,418,97,0.23205741626794257,0.23205741626794257,0.418,0.37,0.43,6.31743748324823,3.6106562547283265,-2.7067812285199047
Gemma-4-31B-it,hub,hub_6,Italy,d5,1000,534,154,0.2883895131086142,0.2883895131086142,0.534,0.406,0.493,7.515132774715946,3.9272499942064822,-3.587882780509465
Qwen3.5-2B,hub,hub_4,England,d1,15,15,2,0.13333333333333333,0.13333333333333333,1.0,0.8666666666666667,1.0,4.80000000152116,4.541666667632914,-0.25833333388824636
Qwen3.5-2B,hub,hub_4,England,d2,117,49,6,0.12244897959183673,0.12244897959183673,0.4188034188034188,0.4017094017094017,0.4188034188034188,2.8146367610539667,2.931089738036136,0.11645297698216894
Qwen3.5-2B,hub,hub_4,England,d3,614,177,32,0.1807909604519774,0.1807909604519774,0.28827361563517917,0.26547231270358307,0.30618892508143325,3.049674270838781,5.243078175629198,2.1934039047904164
