model,group,hop,n_targets,n_samples_total,n_clean_correct_total,flip_count_total,epr_weighted,flip_rate_weighted,clean_acc_weighted,poisoned_acc_raw_w,poisoned_acc_judge_w,clean_margin_w,margin_change_w
Gemma-4-E4B-it,hub,d3,10,5543,1642,188,0.11449451887941535,0.11449451887941535,0.296229478621685,0.2834205303987011,0.3133682121594804,4.2960887129110565,0.27035780413427757
Gemma-4-E4B-it,hub,d4,10,9870,2960,245,0.08277027027027027,0.08277027027027027,0.2998986828774063,0.29412360688956435,0.321580547112462,4.171648066267631,0.5815142267057059
Gemma-4-E4B-it,hub,d5,10,10000,3387,262,0.07735459108355477,0.07735459108355477,0.3387,0.3298,0.3665,4.323609271679532,0.45584754514972814
Gemma-4-31B-it,hub,d1,10,207,190,108,0.5684210526315789,0.5684210526315789,0.9178743961352657,0.3961352657004831,0.3961352657004831,12.442835420237646,-8.691484341755006
Gemma-4-31B-it,hub,d2,10,1252,739,203,0.2746955345060893,0.2746955345060893,0.5902555910543131,0.444888178913738,0.5015974440894568,8.024652897374292,-5.226074343967901
Gemma-4-31B-it,hub,d3,10,5543,2639,601,0.2277377794619174,0.2277377794619174,0.47609597690781164,0.39040230921883456,0.4387515785675627,7.941957690223752,-4.69563242283613
Gemma-4-31B-it,hub,d4,10,9870,4361,1029,0.23595505617977527,0.23595505617977527,0.4418439716312057,0.3579533941236069,0.407193515704154,6.819386718524436,-3.8282667919733218
Gemma-4-31B-it,hub,d5,10,10000,4695,1170,0.24920127795527156,0.24920127795527156,0.4695,0.3692,0.4392,7.351771755363381,-4.234584275872201
Qwen3.5-2B,tail,d1,10,12,8,8,1.0,1.0,0.6666666666666666,0.0,0.0,3.4791666854095333,-2.2395833337213844
Qwen3.5-2B,tail,d2,9,136,107,51,0.4766355140186916,0.4766355140186916,0.7867647058823529,0.39705882352941174,0.5294117647058824,4.205085795006838,-1.920480805193478
Qwen3.5-2B,tail,d3,9,838,418,126,0.3014354066985646,0.3014354066985646,0.4988066825775656,0.36873508353221957,0.40692124105011934,3.147716014964542,-0.2856835249154355
Qwen3.5-2B,tail,d4,9,3708,1209,501,0.4143920595533499,0.4143920595533499,0.32605177993527507,0.21008629989212513,0.2540453074433657,3.105459253451423,-0.1990599764141265
Qwen3.5-2B,tail,d5,9,7634,2394,878,0.366750208855472,0.366750208855472,0.31359706575844903,0.21679329316216925,0.24141996332198062,3.018589529477527,-0.14331999813556529
Qwen3.5-9B,tail,d1,10,12,8,8,1.0,1.0,0.6666666666666666,0.0,0.0,6.0833332164208205,-3.4166665942248073
Qwen3.5-9B,tail,d2,9,136,113,52,0.46017699115044247,0.46017699115044247,0.8308823529411765,0.4411764705882353,0.7058823529411765,4.47700368445977,-2.428204374434499
Qwen3.5-9B,tail,d3,9,838,482,254,0.5269709543568465,0.5269709543568465,0.5751789976133651,0.29236276849642007,0.34009546539379476,3.4828228736604694,-1.4990766651925385
Qwen3.5-9B,tail,d4,9,3708,1657,751,0.4532287266143633,0.4532287266143633,0.44687162891046384,0.2702265372168285,0.3069039913700108,3.53644841362641,-1.6691694268865498
Qwen3.5-9B,tail,d5,9,7634,3354,1459,0.4350029815146094,0.4350029815146094,0.4393502750851454,0.26788053445113963,0.3117631647891014,3.482279759691005,-1.5282046882515792
Gemma-4-E4B-it,tail,d1,10,12,10,4,0.4,0.4,0.8333333333333334,0.5,0.5,6.779166643355469,-1.9375000240814795
Gemma-4-E4B-it,tail,d2,9,136,110,3,0.02727272727272727,0.02727272727272727,0.8088235294117647,0.7573529411764706,1.0220588235294117,7.54505449671942,-1.4741169726614083
Gemma-4-E4B-it,tail,d3,9,838,419,24,0.057279236276849645,0.057279236276849645,0.5,0.4713603818615752,0.5107398568019093,4.017584396032301,-0.0560567039568421
Gemma-4-E4B-it,tail,d4,9,3708,1158,152,0.13126079447322972,0.13126079447322972,0.3122977346278317,0.2901833872707659,0.32119741100323623,4.221753171472628,0.09922024507149299
Gemma-4-E4B-it,tail,d5,9,7634,2398,273,0.11384487072560467,0.11384487072560467,0.31412103746397696,0.2964369924024103,0.31936075451925594,4.2499236221278585,0.19954212991447745
Gemma-4-31B-it,tail,d1,10,12,10,4,0.4,0.4,0.8333333333333334,0.5,0.5,9.7999999549268,-5.537499905723864
Gemma-4-31B-it,tail,d2,9,136,113,34,0.3008849557522124,0.3008849557522124,0.8308823529411765,0.5882352941176471,0.6470588235294118,12.285775915197515,-8.808827654671758
Gemma-4-31B-it,tail,d3,9,838,512,115,0.224609375,0.224609375,0.6109785202863962,0.4928400954653938,0.649164677804296,8.139496017688222,-4.857736698728189
Gemma-4-31B-it,tail,d4,9,3708,1882,326,0.17321997874601489,0.17321997874601489,0.5075512405609492,0.4395900755124056,0.5064724919093851,8.28454916058758,-4.548836100410745
Gemma-4-31B-it,tail,d5,9,7634,3599,629,0.1747707696582384,0.1747707696582384,0.47144354204872935,0.4138066544406602,0.4696096410793817,7.787473746845587,-3.8768520862218376
Qwen3.5-2B,random,d1,10,58,11,11,1.0,1.0,0.1896551724137931,0.0,0.0,2.5686688253085546,0.77694804800871
Qwen3.5-2B,random,d2,10,360,240,99,0.4125,0.4125,0.6666666666666666,0.4027777777777778,0.4527777777777778,4.00015023702156,-0.6318082250580584
Qwen3.5-2B,random,d3,10,1940,876,334,0.3812785388127854,0.3812785388127854,0.4515463917525773,0.3020618556701031,0.3268041237113402,3.266428427934478,-0.2707200254614079
Qwen3.5-2B,random,d4,10,7056,2535,1108,0.43708086785009864,0.43708086785009864,0.3592687074829932,0.21584467120181405,0.24319727891156462,3.0199629604431757,-0.3280293489943178
Qwen3.5-2B,random,d5,10,10000,3140,1412,0.4496815286624204,0.4496815286624204,0.314,0.1891,0.2095,2.941126056712825,-0.43258694237755324
Qwen3.5-9B,random,d1,10,58,16,16,1.0,1.0,0.27586206896551724,0.0,0.0,3.47738095742922,-1.1744977609519125
Qwen3.5-9B,random,d2,10,360,261,132,0.5057471264367817,0.5057471264367817,0.725,0.38055555555555554,0.46111111111111114,4.347538843812837,-2.161050204409559
Qwen3.5-9B,random,d3,10,1940,1039,524,0.5043310875842156,0.5043310875842156,0.5355670103092783,0.2876288659793814,0.32628865979381444,3.6549385301039456,-1.6584858136028444
Qwen3.5-9B,random,d4,10,7056,3359,1678,0.49955343852337003,0.49955343852337003,0.4760487528344671,0.25878684807256236,0.29237528344671204,3.470337864994346,-1.4905529487335252
Qwen3.5-9B,random,d5,10,10000,4374,2058,0.47050754458161864,0.47050754458161864,0.4374,0.2522,0.2969,3.377802683634877,-1.3692496706034185
Gemma-4-E4B-it,random,d1,10,58,7,2,0.2857142857142857,0.2857142857142857,0.1206896551724138,0.10344827586206896,0.10344827586206896,5.115646238560367,-0.8106292572595615
Gemma-4-E4B-it,random,d2,10,360,234,8,0.03418803418803419,0.03418803418803419,0.65,0.6222222222222222,0.7694444444444445,6.281388112744628,-0.7948723158397124
Gemma-4-E4B-it,random,d3,10,1940,851,61,0.07168037602820211,0.07168037602820211,0.438659793814433,0.4180412371134021,0.44072164948453607,4.295009030408243,-0.15912849995708758
Gemma-4-E4B-it,random,d4,10,7056,2539,220,0.08664828672705789,0.08664828672705789,0.3598356009070295,0.3469387755102041,0.3727324263038549,4.1824343386383545,0.1082568694442159
Gemma-4-E4B-it,random,d5,10,10000,3265,332,0.10168453292496171,0.10168453292496171,0.3265,0.3094,0.3402,4.198787916283646,0.2843569126494992
Gemma-4-31B-it,random,d1,10,58,12,4,0.3333333333333333,0.3333333333333333,0.20689655172413793,0.13793103448275862,0.13793103448275862,7.250198450065452,-3.179439550746421
Gemma-4-31B-it,random,d2,10,360,260,47,0.18076923076923077,0.18076923076923077,0.7222222222222222,0.6083333333333333,0.6805555555555556,10.98035480841222,-6.676767261871285
Gemma-4-31B-it,random,d3,10,1940,1106,144,0.1301989150090416,0.1301989150090416,0.5701030927835051,0.5139175257731958,0.568041237113402,8.151615169273533,-4.353854930982588
Gemma-4-31B-it,random,d4,10,7056,3679,475,0.12911117151399837,0.12911117151399837,0.5214002267573696,0.47845804988662133,0.5378401360544217,7.98968711498106,-3.9888528409467168
Gemma-4-31B-it,random,d5,10,10000,4734,751,0.15863962822137728,0.15863962822137728,0.4734,0.4198,0.4921,7.503113848691515,-3.637330764219034
