model,src_group,nbr_class,hop,n_eval,clean_correct,flip_count,epr,clean_margin,poisoned_margin,margin_change
Gemma-4-31B-it,random,Tail,d4,86,34,1,0.0294,5.3641,3.9797,-1.3844
Gemma-4-31B-it,random,Tail,d5,359,108,15,0.1389,5.0650,3.4998,-1.5652
Gemma-4-31B-it,tail,Hub,d2,126,110,34,0.3091,12.1987,3.4628,-8.7359
Gemma-4-31B-it,tail,Hub,d3,798,478,101,0.2113,7.8184,3.1865,-4.6320
Gemma-4-31B-it,tail,Hub,d4,1744,997,175,0.1755,8.6939,3.4748,-5.2192
Gemma-4-31B-it,tail,Hub,d5,4099,2321,397,0.1710,8.3556,3.9093,-4.4462
Gemma-4-31B-it,tail,Mid,d1,2,2,1,0.5000,4.5000,4.8438,0.3438
Gemma-4-31B-it,tail,Mid,d2,10,3,0,0.0000,8.4062,4.8938,-3.5125
Gemma-4-31B-it,tail,Mid,d3,35,32,14,0.4375,11.0237,3.0679,-7.9558
Gemma-4-31B-it,tail,Mid,d4,1937,877,149,0.1699,7.8859,4.0493,-3.8366
Gemma-4-31B-it,tail,Mid,d5,3176,1161,205,0.1766,7.0528,3.9031,-3.1497
Gemma-4-31B-it,tail,Tail,d1,10,8,3,0.3750,9.9437,4.0562,-5.8875
Gemma-4-31B-it,tail,Tail,d3,5,2,0,0.0000,6.7750,6.3750,-0.4000
Gemma-4-31B-it,tail,Tail,d4,27,8,2,0.2500,7.3356,4.2199,-3.1157
Gemma-4-31B-it,tail,Tail,d5,359,117,27,0.2308,5.0608,3.6485,-1.4123
Gemma-4-E4B-it,hub,Hub,d1,207,190,3,0.0158,7.7850,6.8163,-0.9687
Gemma-4-E4B-it,hub,Hub,d2,1115,521,30,0.0576,3.7429,3.6474,-0.0955
Gemma-4-E4B-it,hub,Hub,d3,2319,1022,76,0.0744,4.5475,4.5125,-0.0350
Gemma-4-E4B-it,hub,Hub,d4,5300,2168,164,0.0756,3.9554,4.1571,0.2017
Gemma-4-E4B-it,hub,Hub,d5,5696,2705,173,0.0640,4.3832,4.5740,0.1908
Gemma-4-E4B-it,hub,Mid,d2,133,74,5,0.0676,4.6076,4.5611,-0.0465
Gemma-4-E4B-it,hub,Mid,d3,3099,601,110,0.1830,4.1310,4.6253,0.4943
Gemma-4-E4B-it,hub,Mid,d4,4007,723,69,0.0954,4.3336,5.3112,0.9776
Gemma-4-E4B-it,hub,Mid,d5,4024,650,88,0.1354,4.1590,4.9592,0.8002
Gemma-4-E4B-it,hub,Tail,d2,4,3,0,0.0000,3.6875,4.3750,0.6875
Gemma-4-E4B-it,hub,Tail,d3,125,19,2,0.1053,4.1630,4.8802,0.7172
Gemma-4-E4B-it,hub,Tail,d4,563,69,12,0.1739,4.9933,6.0203,1.0270
Gemma-4-E4B-it,hub,Tail,d5,280,32,1,0.0312,5.1103,6.2680,1.1577
Gemma-4-E4B-it,random,Hub,d2,292,223,8,0.0359,6.1573,5.2912,-0.8661
Gemma-4-E4B-it,random,Hub,d3,1535,730,45,0.0616,4.2291,3.9460,-0.2830
Gemma-4-E4B-it,random,Hub,d4,4135,1922,119,0.0619,4.1477,4.0858,-0.0619
Gemma-4-E4B-it,random,Hub,d5,5258,2375,190,0.0800,4.1180,4.1060,-0.0121
Gemma-4-E4B-it,random,Mid,d1,52,7,2,0.2857,5.2091,6.4087,1.1995
Gemma-4-E4B-it,random,Mid,d2,66,10,0,0.0000,4.3163,5.0843,0.7680
Gemma-4-E4B-it,random,Mid,d3,382,118,16,0.1356,4.1656,4.5215,0.3559
Gemma-4-E4B-it,random,Mid,d4,2835,593,100,0.1686,4.1911,4.5559,0.3648
Gemma-4-E4B-it,random,Mid,d5,4383,829,136,0.1641,4.2544,4.8233,0.5690
Gemma-4-E4B-it,random,Tail,d1,6,0,0,,6.3958,7.1875,0.7917
Gemma-4-E4B-it,random,Tail,d2,2,1,0,0.0000,1.3750,0.7500,-0.6250
Gemma-4-E4B-it,random,Tail,d3,23,3,0,0.0000,5.2880,5.9674,0.6793
Gemma-4-E4B-it,random,Tail,d4,86,24,1,0.0417,4.2922,5.1424,0.8503
Gemma-4-E4B-it,random,Tail,d5,359,61,6,0.0984,5.0378,5.9625,0.9247
Gemma-4-E4B-it,tail,Hub,d2,126,108,3,0.0278,7.2535,5.8068,-1.4467
Gemma-4-E4B-it,tail,Hub,d3,798,386,23,0.0596,3.7497,3.6983,-0.0514
Gemma-4-E4B-it,tail,Hub,d4,1744,762,63,0.0827,4.3319,4.0714,-0.2605
Gemma-4-E4B-it,tail,Hub,d5,4099,1753,157,0.0896,4.0360,3.8336,-0.2024
Gemma-4-E4B-it,tail,Mid,d1,2,2,1,0.5000,5.7500,4.4375,-1.3125
Gemma-4-E4B-it,tail,Mid,d2,10,2,0,0.0000,4.8125,5.5625,0.7500
Gemma-4-E4B-it,tail,Mid,d3,35,31,1,0.0323,4.2893,4.7143,0.4250
Gemma-4-E4B-it,tail,Mid,d4,1937,391,88,0.2251,4.1077,4.6127,0.5050
Gemma-4-E4B-it,tail,Mid,d5,3176,580,107,0.1845,4.3810,5.1250,0.7440
Gemma-4-E4B-it,tail,Tail,d1,10,8,3,0.3750,6.5125,4.3625,-2.1500
Gemma-4-E4B-it,tail,Tail,d3,5,2,0,0.0000,5.3500,7.0625,1.7125
Gemma-4-E4B-it,tail,Tail,d4,27,5,1,0.2000,5.1296,6.3380,1.2083
Gemma-4-E4B-it,tail,Tail,d5,359,65,9,0.1385,5.1845,6.5691,1.3846
Qwen3.5-2B,hub,Hub,d1,207,187,102,0.5455,4.4668,2.1374,-2.3294
Qwen3.5-2B,hub,Hub,d2,1115,513,150,0.2924,3.1190,2.7411,-0.3779
Qwen3.5-2B,hub,Hub,d3,2319,990,358,0.3616,3.1565,3.3155,0.1590
Qwen3.5-2B,hub,Hub,d4,5300,2152,662,0.3076,2.8671,3.0585,0.1913
Qwen3.5-2B,hub,Hub,d5,5696,2573,863,0.3354,2.9682,3.0520,0.0838
Qwen3.5-2B,hub,Mid,d2,133,73,16,0.2192,4.0150,3.2740,-0.7411
Qwen3.5-2B,hub,Mid,d3,3099,664,277,0.4172,2.9783,3.7669,0.7887
Qwen3.5-2B,hub,Mid,d4,4007,745,259,0.3477,2.6184,3.2717,0.6533
Qwen3.5-2B,hub,Mid,d5,4024,637,252,0.3956,2.7873,3.9594,1.1721
Qwen3.5-2B,hub,Tail,d2,4,3,1,0.3333,3.7500,3.6875,-0.0625
Qwen3.5-2B,hub,Tail,d3,125,20,11,0.5500,3.9750,2.8445,-1.1305
Qwen3.5-2B,hub,Tail,d4,563,85,31,0.3647,2.9448,3.3074,0.3626
Qwen3.5-2B,hub,Tail,d5,280,35,13,0.3714,3.4455,3.5306,0.0850
Qwen3.5-2B,random,Hub,d2,292,221,93,0.4208,4.0762,3.3099,-0.7663
Qwen3.5-2B,random,Hub,d3,1535,752,285,0.3790,3.1492,2.9001,-0.2491
Qwen3.5-2B,random,Hub,d4,4135,1874,807,0.4306,3.0516,2.5713,-0.4803
Qwen3.5-2B,random,Hub,d5,5258,2274,1034,0.4547,2.9442,2.4986,-0.4456
Qwen3.5-2B,random,Mid,d1,52,10,10,1.0000,2.7909,3.5805,0.7897
Qwen3.5-2B,random,Mid,d2,66,18,6,0.3333,2.6174,2.1212,-0.4962
Qwen3.5-2B,random,Mid,d3,382,121,49,0.4050,3.4192,3.5484,0.1293
Qwen3.5-2B,random,Mid,d4,2835,636,290,0.4560,2.9601,3.1877,0.2276
Qwen3.5-2B,random,Mid,d5,4383,802,353,0.4401,2.9145,2.6526,-0.2619
Qwen3.5-2B,random,Tail,d1,6,1,1,1.0000,3.6042,5.9583,2.3542
Qwen3.5-2B,random,Tail,d2,2,1,0,0.0000,0.5625,1.2500,0.6875
Qwen3.5-2B,random,Tail,d3,23,3,0,0.0000,4.3261,2.5054,-1.8207
Qwen3.5-2B,random,Tail,d4,86,25,11,0.4400,3.0930,2.5741,-0.5189
Qwen3.5-2B,random,Tail,d5,359,64,25,0.3906,3.3081,3.0385,-0.2697
Qwen3.5-2B,tail,Hub,d2,126,105,51,0.4857,3.9990,2.3611,-1.6379
Qwen3.5-2B,tail,Hub,d3,798,385,119,0.3091,2.9917,2.8370,-0.1547
Qwen3.5-2B,tail,Hub,d4,1744,753,305,0.4050,3.1861,2.5172,-0.6689
Qwen3.5-2B,tail,Hub,d5,4099,1706,644,0.3775,2.9776,2.6107,-0.3669
Qwen3.5-2B,tail,Mid,d1,2,1,1,1.0000,2.6875,1.0000,-1.6875
Qwen3.5-2B,tail,Mid,d2,10,2,0,0.0000,4.9375,2.2625,-2.6750
Qwen3.5-2B,tail,Mid,d3,35,31,7,0.2258,4.5321,3.4393,-1.0929
Qwen3.5-2B,tail,Mid,d4,1937,451,194,0.4302,2.9899,3.4384,0.4485
Qwen3.5-2B,tail,Mid,d5,3176,614,210,0.3420,2.9123,3.1607,0.2483
Qwen3.5-2B,tail,Tail,d1,10,7,7,1.0000,4.4000,1.0750,-3.3250
Qwen3.5-2B,tail,Tail,d3,5,2,0,0.0000,3.7250,3.4250,-0.3000
Qwen3.5-2B,tail,Tail,d4,27,5,2,0.4000,4.6389,4.1366,-0.5023
Qwen3.5-2B,tail,Tail,d5,359,74,24,0.3243,3.1957,3.5435,0.3478
Qwen3.5-9B,hub,Hub,d1,207,186,158,0.8495,4.7847,2.5006,-2.2841
Qwen3.5-9B,hub,Hub,d2,1115,600,354,0.5900,3.4526,1.8571,-1.5955
Qwen3.5-9B,hub,Hub,d3,2319,1255,659,0.5251,3.5098,1.9112,-1.5986
Qwen3.5-9B,hub,Hub,d4,5300,2734,1228,0.4492,3.3034,2.0360,-1.2674
Qwen3.5-9B,hub,Hub,d5,5696,3117,1700,0.5454,3.4221,2.0128,-1.4094
Qwen3.5-9B,hub,Mid,d2,133,85,55,0.6471,4.5399,1.8849,-2.6551
Qwen3.5-9B,hub,Mid,d3,3099,1132,474,0.4187,3.3673,1.9431,-1.4242
Qwen3.5-9B,hub,Mid,d4,4007,1277,643,0.5035,3.1356,1.9944,-1.1412
Qwen3.5-9B,hub,Mid,d5,4024,1167,505,0.4327,3.2896,1.9335,-1.3561
Qwen3.5-9B,hub,Tail,d2,4,3,0,0.0000,3.4375,2.3125,-1.1250
Qwen3.5-9B,hub,Tail,d3,125,31,16,0.5161,4.5245,1.6610,-2.8635
Qwen3.5-9B,hub,Tail,d4,563,141,71,0.5035,3.3308,2.0303,-1.3005
Qwen3.5-9B,hub,Tail,d5,280,58,29,0.5000,3.9518,2.0605,-1.8913
Qwen3.5-9B,random,Hub,d2,292,234,121,0.5171,4.4987,2.1811,-2.3176
Qwen3.5-9B,random,Hub,d3,1535,867,429,0.4948,3.5405,2.0237,-1.5169
Qwen3.5-9B,random,Hub,d4,4135,2290,1204,0.5258,3.4399,2.0424,-1.3976
Qwen3.5-9B,random,Hub,d5,5258,2848,1376,0.4831,3.3328,2.0241,-1.3087
Qwen3.5-9B,random,Mid,d1,52,15,15,1.0000,2.9615,2.8462,-0.1154
Qwen3.5-9B,random,Mid,d2,66,25,10,0.4000,3.1042,2.1572,-0.9470
Qwen3.5-9B,random,Mid,d3,382,167,92,0.5509,3.9126,1.8501,-2.0625
Qwen3.5-9B,random,Mid,d4,2835,1031,455,0.4413,3.5034,1.8854,-1.6179
Qwen3.5-9B,random,Mid,d5,4383,1426,631,0.4425,3.4079,1.9604,-1.4475
Qwen3.5-9B,random,Tail,d1,6,1,1,1.0000,2.9792,2.2292,-0.7500
Qwen3.5-9B,random,Tail,d2,2,2,1,0.5000,0.6250,1.5000,0.8750
Qwen3.5-9B,random,Tail,d3,23,5,3,0.6000,4.8315,1.9130,-2.9185
Qwen3.5-9B,random,Tail,d4,86,38,19,0.5000,3.4985,1.5625,-1.9360
Qwen3.5-9B,random,Tail,d5,359,100,51,0.5100,3.8419,1.9958,-1.8461
Qwen3.5-9B,tail,Hub,d2,126,110,51,0.4636,4.4405,1.9836,-2.4568
Qwen3.5-9B,tail,Hub,d3,798,449,229,0.5100,3.3073,1.9042,-1.4031
Qwen3.5-9B,tail,Hub,d4,1744,924,454,0.4913,3.5486,1.7494,-1.7993
Qwen3.5-9B,tail,Hub,d5,4099,2180,917,0.4206,3.4339,1.9666,-1.4673
Qwen3.5-9B,tail,Mid,d1,2,1,1,1.0000,5.1875,2.5000,-2.6875
Qwen3.5-9B,tail,Mid,d2,10,3,1,0.3333,4.6500,2.1375,-2.5125
Qwen3.5-9B,tail,Mid,d3,35,31,25,0.8065,4.8500,2.3893,-2.4607
Qwen3.5-9B,tail,Mid,d4,1937,725,295,0.4069,3.4809,2.0671,-1.4138
Qwen3.5-9B,tail,Mid,d5,3176,1070,494,0.4617,3.4371,1.9550,-1.4821
Qwen3.5-9B,tail,Tail,d1,10,7,7,1.0000,6.1875,2.3375,-3.8500
Qwen3.5-9B,tail,Tail,d3,5,2,0,0.0000,4.8000,4.4000,-0.4000
Qwen3.5-9B,tail,Tail,d4,27,8,2,0.2500,5.0000,1.7731,-3.2269
Qwen3.5-9B,tail,Tail,d5,359,104,48,0.4615,3.5571,2.3945,-1.1626
