model,target,hub_flip,tail_flip,diff_hub_minus_tail
Gemma-4-E4B-it,hub_15,0.0773,0.2000,-0.1227
Gemma-4-E4B-it,hub_3,0.0976,0.0000,+0.0976
Gemma-4-E4B-it,hub_4,0.1581,0.1538,+0.0043
Gemma-4-E4B-it,hub_5,0.0941,0.1818,-0.0877
Gemma-4-E4B-it,hub_6,0.0648,0.2917,-0.2269
Gemma-4-E4B-it,hub_7,0.0669,0.2500,-0.1831
Gemma-4-E4B-it,hub_8,0.0599,0.0000,+0.0599
Gemma-4-E4B-it,hub_9,0.0559,0.0000,+0.0559
Gemma-4-E4B-it,random_1,0.1139,0.2857,-0.1718
Gemma-4-E4B-it,random_10,0.0774,0.0000,+0.0774
Gemma-4-E4B-it,random_11,0.2444,0.2857,-0.0414
Gemma-4-E4B-it,random_12,0.1136,0.0000,+0.1136
Gemma-4-E4B-it,random_13,0.0448,0.0000,+0.0448
Gemma-4-E4B-it,random_14,0.0704,0.0000,+0.0704
Gemma-4-E4B-it,random_15,0.0804,0.0000,+0.0804
Gemma-4-E4B-it,random_3,0.0914,0.0000,+0.0914
Gemma-4-E4B-it,random_4,0.0697,0.0556,+0.0141
Gemma-4-E4B-it,random_5,0.0768,0.0667,+0.0101
Gemma-4-E4B-it,random_7,0.0992,0.1667,-0.0674
Gemma-4-E4B-it,random_8,0.1073,0.3333,-0.2261
Gemma-4-E4B-it,random_9,0.0972,0.2222,-0.1250
Gemma-4-E4B-it,tail_1,0.1316,0.4545,-0.3230
Gemma-4-E4B-it,tail_10,0.0678,0.0000,+0.0678
Gemma-4-E4B-it,tail_13,0.0952,0.0000,+0.0952
Gemma-4-E4B-it,tail_3,0.0824,0.1667,-0.0843
Gemma-4-E4B-it,tail_4,0.0991,0.1111,-0.0120
Gemma-4-E4B-it,tail_5,0.0990,0.0625,+0.0365
Gemma-4-E4B-it,tail_7,0.0463,0.2800,-0.2337
Gemma-4-E4B-it,tail_8,0.0822,0.0000,+0.0822
Gemma-4-E4B-it,tail_9,0.0646,0.2500,-0.1854
Gemma-4-31B-it,hub_1,0.3688,0.3077,+0.0611
Gemma-4-31B-it,hub_10,0.1373,0.1875,-0.0502
Gemma-4-31B-it,hub_11,0.1985,0.1200,+0.0785
Gemma-4-31B-it,hub_12,0.2800,0.3889,-0.1089
Gemma-4-31B-it,hub_13,0.1472,0.1429,+0.0044
Gemma-4-31B-it,hub_14,0.2235,0.1600,+0.0635
Gemma-4-31B-it,hub_15,0.0877,0.0625,+0.0252
Gemma-4-31B-it,hub_3,0.2974,0.2414,+0.0560
Gemma-4-31B-it,hub_4,0.2407,0.3333,-0.0926
Gemma-4-31B-it,hub_5,0.1110,0.1250,-0.0140
Gemma-4-31B-it,hub_6,0.3364,0.1667,+0.1697
Gemma-4-31B-it,hub_7,0.1148,0.3333,-0.2185
Gemma-4-31B-it,hub_8,0.2849,0.4667,-0.1818
Gemma-4-31B-it,hub_9,0.7092,0.5882,+0.1210
Gemma-4-31B-it,random_1,0.1350,0.0833,+0.0517
Gemma-4-31B-it,random_10,0.0600,0.1429,-0.0829
Gemma-4-31B-it,random_11,0.0734,0.1304,-0.0570
Gemma-4-31B-it,random_12,0.1879,0.2222,-0.0343
Gemma-4-31B-it,random_13,0.5000,0.0714,+0.4286
Gemma-4-31B-it,random_14,0.0900,0.2222,-0.1322
Gemma-4-31B-it,random_15,0.2460,0.2500,-0.0040
Gemma-4-31B-it,random_2,0.1105,0.0000,+0.1105
Gemma-4-31B-it,random_3,0.3727,0.2500,+0.1227
Gemma-4-31B-it,random_4,0.1003,0.0000,+0.1003
Gemma-4-31B-it,random_5,0.4274,0.0556,+0.3718
Gemma-4-31B-it,random_7,0.1024,0.0455,+0.0569
Gemma-4-31B-it,random_8,0.1070,0.1818,-0.0748
Gemma-4-31B-it,random_9,0.2000,0.1500,+0.0500
Gemma-4-31B-it,tail_1,0.3879,0.4762,-0.0882
Gemma-4-31B-it,tail_10,0.1678,0.0000,+0.1678
Gemma-4-31B-it,tail_11,0.2252,0.2000,+0.0252
Gemma-4-31B-it,tail_13,0.5875,0.6429,-0.0554
Gemma-4-31B-it,tail_15,0.1285,0.5000,-0.3715
Gemma-4-31B-it,tail_2,0.0845,0.5714,-0.4869
Gemma-4-31B-it,tail_3,0.2505,0.2083,+0.0422
Gemma-4-31B-it,tail_4,0.1347,0.2105,-0.0759
Gemma-4-31B-it,tail_5,0.1124,0.1071,+0.0053
Gemma-4-31B-it,tail_7,0.5249,0.4878,+0.0371
Gemma-4-31B-it,tail_8,0.1572,0.0952,+0.0620
Gemma-4-31B-it,tail_9,0.2063,0.1000,+0.1063
